firmenId,firma,firmaQuelle
1379,Joseph Sailer & Co.,Joseph Sailler et consort
1380,Sereni und Consoni,Sereni et Consoni
1381,Johann Perinet und Violand,Johann Perinet et Violand
1383,Paul Freudenberger (Passau) und Johann Georg Götz (Grein),paul freudenberger v. passau und johann georg göz v. grein 
1384,Peter Frelet sel. Witwe,Peter Frelet see: Wittib
1385,Hecker und Schlesinger,hekher und schlessinger
1386,"Johann Anton Jäger (Pressburg), Franz Edlmann (Laufen), Michael Schedlberger (Ottensheim)",
1387,Joseph Schaubner & Co.,Joseph Schaubner et Cons:
1389,Mayrhofer Erben,mayerhofersche erben
1390,Joseph Selhammer sel. Witwe,
1391,Lukas Kern und Paul Freudenberger,Lucaß Khern und Paul Freudenberg von Passau
1392,Georg Nuss & Co.,
1393,Johann Wilhelm Pögl sel. Witwe,Johann wilhalbm Pögels seel. wittib
1394,Sereni & Co.,Sereni et compag.
1395,Herz und Lehmann,Herz und Lechmann
1396,Stephan Stahrnberger sel. Erben,Stephan Stahrenberger v. Casten seel. Erbn
1397,Johann Aggerer sel. Witwe,Johann Aggerer seel. Wittib
1398,Toscano & Co.,Toscano und compag.
1399,"Johann Hofer (Wesenufer), Urban Lechner (Freizell), Ferdinand Dorner (von der Mühl)",
1400,Jakob Prumbingers sel. Erben,Jacob Prumbingers seel. Erbn
1401,Küner & Co.,Khüner und compag. 
1402,Wagner und Ferner,Wagner und Ferner
1403,Delffenreiter und Co.,Delffenreid et Cons
1404,"Anton Jäger (Pressburg), Michael Schedlberger (Ottensheim)",Antoni Jäger von Prespurg und Michael Schedlberger von Ottenshaimb
1405,Paul Schedlberger und Matthias Viechtbauer,Paul Schedlperger v: Ottensheim und Mathias Viechtpaur von Linz
1406,Christoph Alkofer sel. Erben,Christoph Alkhofers seel. erbn
1407,Rathgeb sel. Erben,herr Rathgeeb seel. erben
1408,Johann Prielmayr & Co,Johann Prielmayr et consorth
1409,Matthias Wolff sel. Erben,Madhias Wolff seel. Erben
1410,Bartholomäus Bartholomäi & Sohn,bärtlme bartholomei und sohn
1411,Franz Weiss sel. Witwe,Franz Weyss seel. wittib
1412,Müller und Marquet,Müller et Marquet
1413,Gaun und Münch,"Gaun und Minich, Gaune et Münich"
1414,Goller und Pressl,Goller und Pressl
1416,Karl Kampmiller und Adam Kampmiller,Carl und Adam Kampmüllner
1417,Wagner und Weyling,Wagner und Weyling
1418,Matthias Perndl & Co.,Matthias Perndl et Cors.
1420,Simon Weni & Co.,Simon Wein et cons.
1422,Balthasar Plazer sel. Erben,Balthasar Plazer seel Erbn
1423,Christian Altschmid sel. Erben,
1424,Blasius Weber und Roman Weber,Blasius et Romanus Wöber
1425,Kriner & Co.,"Herr Kiener & Co., Kinner et compag."
1426,Georg Binder & Co,Georg Binder et consort
1428,Christoph Lettinger & Co.,Chrüstoph Lettinger et Cons:
1429,Güsser und Preissl,Güsser und Preysell
1431,Georg Friedrich Lindt & Sohn,Georg Fridrich Lindte und dessen sohn
1432,Bernhard Rechenmacher & Co,Bernhard Rechenmacher et consort
1433,Michael Steininger & Co,Michael Staininger et consort
1434,Garaus und Hölzl,Garaus und Hölzl
1435,Johann Eibeck sel. Witwe,hanns eybekh selig. wittib
1436,Stephan Herzog und Johann Berger,stephan herzog und johann berger
1438,Heinrich Schweland & Co.,heinrich schwelandt et compag.
1439,Michael Huber sel. Erben,michael hueber sel. erben
1440,"Michael Scheibenbogen, Ignaz Haßperger (beide Schiffmeister in Linz)",Michael Sheibenpogen und Ignati Haßperger beede schiffmaister von linz
1441,Christoph Freysauf sel. Erben,Christoph Freyßau seel. Erben
1442,Franz Adam Hofer sel. Witwe,Franz Adam Hofer seel. wittieb
1443,Philipp Kiblböck & Co.,
1444,Georg Schmid & Co.,
1445,Egidius Adam und Ferdinand Adam (Obernzell),Egidy und Ferdinand Adam von Obernzell
1446,Simon Staudinger & Co.,
1448,Georg Mayr sel. Witwe,
1449,Wenzler und Maiz,wenzler und mais
1548,Kiner und Lender,Kiner und Lender
1451,Appold und Gnädl,Apoldt und Gnändl
1452,Johann Härtl & Co.,
1453,Franz Bruna sel. Erben,franz bruna sel. erbn
1454,Leistner und Lorenz,Leistner und Lorenz
1455,Valentin und Andre Erben,valenthin und andr erben
1456,Ferdinand Wührer sel. Witwe,ferdinand wührer selig. wittib
1457,Michael Joachim Weickmann sel. Witwe,michael joachim weükhman selig. wittib
1458,Johann Peter Wolff sel. Erben,100 (1716) fol. 250
1460,Butterna und Amort,Wutterni und amort
1461,Gebrüder Schnidmann,
1462,Höller und Wallsdorf,Höllern und Wallstorff
1463,Joh. Lublin und Söhne,Joh. Lublin und Söhn
1464,Johann Wolfgang Hilleprand sel. Witwe,Joh. Wolfgang Hilleprand see. wittib
1465,Johann Koppenjäger sel. Erben,Johann Koppenjäger see. erben
1629,Zacharias Läu sel. Erben,Zachariaß Läu see. erben
1468,Gebrüder Ludwig,Ludwüg Gebrüeder
1469,Simon Räckl und Michael Mayr,Simon Rächl und Michael Meyer
1470,Rathgeb sel. Sohn,herr Rathgeeb seel. sohn
1471,Franz Balde sel. Witwe,Franz Baldte sel. wittib
1472,Stephan Herzog und Johann Ebenhöch,Stephan Herzog und Johann Ebenhech
1473,Christoph und Andreas,Christoph et Andreas
1474,Höcksteiner sel. Erben,Hökhsteiner seel. Erben
1475,Therring und Eccard,Therring und Eccard
1476,Stobl und Heigel,Stobl und Heygel
1477,Johann Christoph Mosbach und Jakob Silberpaur,Johann Chrüstoph Mossbach und Jacob Silberpaur
1478,Rothgeb & Co.,"Rothgelb et comp., Rothgeb und compagnie, Radtgeb unnd compagnia"
1479,Johann Michael Schiller & Co.,Hanns Michael Schiller et cons. 
1480,Wagner und Stayling,
1481,Johann Christoph Alkofer sel. Erben,Joh. Christoph Alkhofers seel. erben
1482,Beham und Hilleprand,Böhaimb und Hillebrand
1483,Christoph Dallensteiner & Co. ,Christoph Dolnstainer et consort
1484,Johann Christoph Dallensteiner & Co. ,Joohann Christoph Dolnstainer et cons.
1486,Hilleprand und Isenflamm,Hilleprand und Isemflamb
1487,Forster und Gebrüder,Forster und Gebrüeder
1488,Johann Scheugl und Philipp Scheugl,Johann und Phillipp Scheugl
1489,Balvi und Triponer,Balvi und Triponer
1490,Jean und Cesar,Jeann et Cesar
1491,Maria Susanna Jäcklin sel. Erben,Maria Susanna Jäkhlin sel. Erbn
1492,Gebrüder Courtet,Courtett Gebrüder
1493,Gebrüder Lastropo,
1494,Leonhard Giseti & Co.,Leonhard Giseti et comp.
1495,Matthias Kögler & Co.,Matthias Kögler et consortes
1496,Haglauer und Köbis,Haglauer et Köbis
1497,Johann Rathgeb sel. Sohn,Johann Rathgeeb seel. sohn
1498,Wermann Söhne,Wermanns Söhne
1500,Herr Michael sel. Erben,h. Michael seel. erben
1501,Thomas Theodor Gmainer sel. Erben,Thomas Theodor Gmainer se. Erbn
1502,Johann Reisinger & Co.,johann reisinger et compag. 
1503,Jakob Miller & Co.,Jakob Müller & Consorth
1505,Sebastian Paumann sel. Witwe,Sebastian Pauman sel. Wittib	
1506,Franz Sacudero sel. Witwe,Franz Sacudero [?] sel. wittib
1507,Miller & Co.,
1508,Kaspar Freysauf sel. Sohn,Caspar Freyßauf see: Sohn
1509,Ignaz Christoph sel.,Ignati Chrüstoph see:
1510,Johann Zehner sel. Witwe,Johann Zehners seel: Wittib
1511,Brigga und Krachner,Brigga und Krachner
1513,Johann Wagner sel. Witwe,Johann Wagner seel. wittib
1514,Matthias Nagl & Co.,Matthias Nagl et cons. 
1515,Dimpfl & Co.,herr dimpfl et cons.
1517,Stellwag und Rieder,Stellwag und Rieder
1518,Andre Tribaumer sel. Witwe,Andre Tribaumer seel. wittib
1519,Herr Tribaumer sel. Erben,h. Tribaumer seel. erben
1520,Samuel Preidl sel. Witwe,Samuel Preidls seel. wittib
1521,Johann Georg Grones & Co.,Johann Georg Grones et compag. 
1522,Martin Breitwieser und Michael Zehetner,Marthin Braithwisser und Michael Zehetner
1523,Herr Tribaumer sel. Witwe,h. Tribaumer seel. wittib
1524,Johann Fachpichler sel. Erben,Johann Fapichlers sel. Erben
1526,Strobl und Wolauff,Strobl und Walauf
1527,Johann Abele & Co.,Hanns Äbele et Consort
1529,Courtet und Abrie,Courtet de Abrie
1530,Zechini und Jäger,
1531,Wolf Gebrüder und Johann Gebrüder,Wolf und Johann Gebrüeder
1532,Gebrüder Wolf,
1533,Wagner und Kollerin,
1534,Wagner und Pozling,Wagner und Pozling
1535,Georg Hilleprand sel. Witwe,Georg Hilleprand seel: Wittib
1536,Elias Näzer sel. Erben,Elias Näzer seel. erbn
1537,Gebrüder Wolf Marina und Jakob Marina,Wolf et Jacob gebrüder Marina
1538,Bernhard Bernini und Gebrüder,
1540,Wagner und Koller,
1541,Gmainer sel. Erben und Mayrhofer,
1542,Jünger und Stephani,
1543,Wolfgang Marina und Gebrüder,Wolfgang Gebrüder Marina
1544,Wolfgang Marina Gebrüder,
1545,Johann Claudius Rua sel. Witwe,
1546,Finale Erben und Angerer,Finol. erben und Angerer
1547,Simon Echtler & Co.,Simon Echtler et cons.
1549,Johann Christoph Fries sel. Erben,Johann Christoph Fries see. erben
1550,"Lukas Kern, Paul Freudenberger, Ruprecht  Höck, Christoph Pichler",
1551,Peetz und Pazer,Peez und Pazer
1552,Anton Mayr sel. Witwe,Antoni Mayrs seel. wittib
1553,Resch & Co.,Resch et compag.
1554,Peisser & Co.,Peisser et compag.
1555,Johann Franz Chessel & Co.,Johann Franz Scheschell et cons.
1556,Niklas Mihal und Mihal Christoph,Nicola Mihal et Mihal Christph türh. underthann.
1558,Johann Schwalb & Co.,Johann Schwalpp et cons.
1559,Dellmor & Co.,Delmor et compag.
1560,"Kriner, Schmidt und Scheidlin","Krimmer, Schmid und Scheidlin"
1561,Rey & Co.,Rey et compagn.
1562,Joseph Schwab & Co.,Joseph Schwab et compag.
1563,Joachim Negri & Co.,Joachim Negri et compag.
1564,Georg Delarve & Co.,Georg Delarve et compagn.
1567,Konrad Peetz und Bader,Conrad Peez und Bader
1568,Stremmer et Barcido,Stremmer et Barcido
1569,Martin Wild & Co.,Martin Wildt et consort.
1570,Legalla und Pigongini,Legalla e Pigongini
1571,Jakob Schultes & Co.,pr. schöffmann et consort.
1572,Johann Käsbauer & Co.,pr. schöffman et consort.
1573,Michael Held & Co.,pr. scheffman et compag.
1574,Thaddäus Clanes Fratelli,Fratelli Thadeo Clanes
1575,"Daissenberger, Pliem & Co.",Daissenberger Pliemb et compag.
1576,Gundian sel. Witwe,Gundian sel. wittib
1577,"Michael Dullermann (Seiler), Jakob Forster (Seiler)",Michael Düllerman und Jacob Forster beede sailler
1578,Georg Schlüter und Martin Happach,Georg Schlitterer und Martin Happach
1579,Johann Christoph Haas & Söhne,Johann Chrüstoph Haaß et sohn
1580,Johann Baptist Bolza und Johann Peter Bolza,Johann Bapt. und Joh. Peter Bolssa
1581,Biolliy Gandi & Co.,Biolliy Gandy et compag.
1582,Georg Heinrich Ritter und Johann Friedrich Göll,Georg Hainrich Ritter und Johann Friderich Göll
1584,Georg Brentano & Sohn,Georg Brentono et sohn
1585,Santini Bussy,Santini Bussy
1586,de Monfre Erben,heritiers de Monfre
1588,Christoph Hager & Co.,Chrüstoph Hager v. Gmunden et cons.
1589,Johann Jakob Grübl und Sebastian Grübl,Johann Jacob und Sebastian Grüebl
1590,"Michael Paur (Augsburg), Johann Pfanzelt (Augsburg)",Michael Paur und Hannß Pfanzelt v. Augspurg
1591,Daniel Kaiser sel. Witwe,Daniel Keyser seel. wittib
1592,Franz Joseph Ferner sel. Witwe,Franz Joseph Fehrner seel. wittib
1593,Johann Philipp Hermes & Söhne,Joh. Philipp Hermes und söhn
1594,Kaspar Würth sel. Söhne,"Caspar Würths sel. söhne, Caspar Würth sel. sohn, Caspar Würths seel. söhn"
1595,Johann Endter sel. Söhne,Joh. Endters sel. söhne
1596,Schäzl & Co.,Schäztl et Comp.
1597,Peter Mangerat & Co.,Peter Mangerat et compag.
1598,Constanz und Jungwirt,"Connstannz und Jungwührt, Constantin v. Jungwührt, Constanz und Jungwührt"
1599,Georg Gutermann und Jakob Friedrich Gutermann,Geörg und Jacob Frid. Gutterman
1600,Blasius Enzinger und Matthias Grämesreiter,Plaßius Enzinger und Matthias Grämbsreither
1601,Blasius Enzinger und Johann Wögerpaur,Blasy Enzinger und Johann Wögerpaur
1602,Cavelet und Obvie,Cavelet und Obvie
1603,Diversini Ardin,Diversini Ardin
1604,Abraham Schlesinger und Daniel Schlesinger,Abrahamb und Daniel Schlessinger
1605,Johann Partheter & Co.,Hannß Parthether et consortes
1606,Kelbius und Muzs,Kelbius et Muzs
1607,Michael Hofer sel. Witwe,Michael Hofer sel. wittib
1608,Tognola und Nissolo,Tognola et Nisola
1609,Clerr und Vieux,Clere et Vieux
1610,"Johann Hofer (Wesenufer), Paul Eggersdorfer (von der Ranna), Simon Andlanger (Engelhartszell)","Johann Hoffer v. Wesenurfahr, Paul Eggenstorffer in der Ranna und Simon Andlanger v. Englzehl"
1627,Zuana sel. Erben,Zuanna see. erben
1611,Kaspar Reilhau Sohn und Eidam,Caspar Reilhau sohn und eydam
1631,P. Kit & Co.,P. Kit et compag.
1612,Arbaur Dassardi,Arbaur Dassardi
1613,Johann Holzpaur und Ulrich Frizl,Hanß Holzpaur und Ulrich Frizl
1614,Schuckische Erben,N. Schukhische erben
1615,Rathgeb & Co.,Radgöb et compag.
1616,Gio und Maniad,Gio et Maniad
1617,Felbinger und Wenzel,Felbinger et Wenzel
1618,Stapf & Co.,Stapf und compagnia
1619,Giuseppe & Fratelli,"Giosepe et fratelli, Gioseppi Fratelli"
1620,Gnädl sel. Erben,Gnädl sel. erben
1622,Georg Winter sel. Witwe,Georg Winter see. wittüb
1623,Gotthard Pucher und Georg Mandl,Gotthard Buecher und Geörg Mandl
1624,Christ. Vurtscher & Co.,Christ. Vurtscher et consortes
1625,Buirette und Söhne,Buirette unnd söhn
1626,Johann Hofer und Elias Sunzenauer,Johann Hofer unnd Eliaß Sunsenauer
1628,Schmidt und Haiden sel. Witwe,Schmidt und Haiden see. wittib
1630,Niklas Revena und Salliet,Nicolaß Ravena et Saillirt
1632,"Zacharias Gerl (Neuhaus, 1652), Thomas Gerhardinger (Obernzell, 1652)",
1633,von Pöllern und Wolfstorff,von Böllern und Wolfstorff
