firmenId,firma,firmaQuelle
1055,Johann Christoph Haas & Co.,Joh. Chrüstoph Haas et cons.
1056,Franz Bignetti sel. Erben,"Franz Bicletti seell. erben, Franz Buchetti seel. erben"
1057,Gebrüder Schmidtner,gebrüder Schmitmer
1058,Dimpfl und Degeler,Dimpffl und Degeler
1059,Jakob Schäcky sel. Erben,Jacob Schäckhi see. erben
1060,Stöger und Grämesreiter,"Stöger, und Grämbsreidter"
1061,Philipp Lang und Grisels,Philip Lang et Grisels
1062,Johann Niklas Ludwig sel. Erben,Johann Nicolas Ludwüg sel. erbn
1063,Urban Heck & Co.,Urban Heckh et cons.
1064,Johann Stein sel. Erben,Johann Steins seel. erben
1065,Ignaz Escher sel. Erben,Ignati Eschers seel. erben
1066,Jakob Held und Wilhelm Hegele,Jacob Heldt und Willhelmb Hegele
1067,Michael Joachim Wittmann sel. Erben,"Michael Joachim seel. erben, Michael Joachim Wittman see. erben"
1068,Taffinger und Beer,"Täfinger und Beer, Täfinger und Peerr"
1069,Gottfried Hautsch sel. Erben,Gottfriedt Hautschen seel. erben
1070,Johann Ehrenreich Rehrer sel. Witwe,Johann Ehrnreich Rehrers v. Wienn seel. wittib
1071,Jakob Blommart und Franz Blommart,Jacob und Franz Ployarth
1072,Andre Klaz & Co.,Andre Klaz et Compag.
1073,Johann Peter Wolff sel. Witwe,Joh. Peter Wolf seel. wittib
1074,Matthias Lechner sel. Erben,Matthias Lechner seel. erbn
1075,Rehrer sel. Witwe,Rehrers von Wienn seel. wittib
1076,Johann Jaccoud & Co.,Johann Jaccoud et Comp.
1077,Visconti und Kürcher,"Viscarti unnd Kürcher, Visconti et Kürcher, Viscanti et Chirches"
1078,Johann Leistner und Zacharias Leistner,"Johann unnd Zach: Leistner, Johann und Zacharias Leistner"
1079,Hubarth und Fiedler,Hubarth und Fiedler
1080,Hagen und Preindl,"Hagen und Breindl, Hagen und Brindl, Hagger und Preindl"
1081,Haas und Becker,Haaß unnd Beckher
1082,Johann Daniel Steffer sel. Erben,Joh. Daniel Steffer see. erben
1083,Erasmus Pichler sel. Erben,Eräßimus Bichler see. erben
1084,Georg Lotter und Christoph Lotter,Geörg und Christ: Lotter
1085,Schalkhammer und Johann Wittmann,Gschalchamber und Joh: Widtman
1086,Gebrüder Greiff und Johann Köpff,"gebrüeder Greif et Joh: Köpff, gebrüeder Greüff et Köpff"
1087,"Johann Hofer, Elias Sunzenauer, Urban Lechner, Simon Andlanger","Johann Hofer und Eliaß Sunsenauer von Wesenuefer, Urban Lechner und Simon Andlanger v. Englzehl"
1088,Daniel Piat sel. Witwe,Daniel Piatt seel. wittib
1089,Joseph Seiz & Co.,Joseph Seiz et cons.
1090,Gabriel und Frankl,Gabriel und Franckhl
1091,Franz Bignetti sel. Witwe,Franciscus Bignetti seel. wittib
1092,Daniel Steffer sel. Erben,Daniel Steffer see: erben
1093,Joseph von Tannenberg und Franz Bernhard Millau,Joseph freyherr von Tannenberg und Franz Bernhardt Millau
1094,"Valentin Langsteger (Klosterneuburg), Johann Koppenjäger (Linz)",Valenthin Langsteger v. Closter Neuburg unnd Johann Koppenjäger von Linz
1095,Michael Neuberger & Co.,Michael Neuberger et consortes
1096,Stephan Fischer und Georg Haslpaur,Stephann Fischer und Georg Haslpaur
1097,Wenzl und Zinessi,"Wennzl und Zinessi, Wenzl e Zenessini, Wenzl Conessi, Wenz und Zenessini"
1098,Paul und Gabalier,"Paul unnd Gäbälier, Baun und Gabalier"
1099,Wanger und Beyling,Wannger unnd Beyling
1100,Egidius Pfanzelt und Johann Paur von Augsburg,Egidi Pfanzelt unnd Hannß Paur von Augspurg
1101,Wilhelm sel. Witwe,Willhalmb seel. wittib 
