personenId,herkunft,herkunftname
1258,4,Aschach
1261,10,Passau
1268,92,Vilshofen
1270,16,Lechbruck
1273,139,Bodenmais
1275,42,Hallein
1281,4,Aschach
1282,140,Kraiburg
1283,13,Obernzell/Hafnerzell
1284,26,Wesenufer
1286,16,Lechbruck
1287,10,Passau
1290,141,Weißbichl
1292,100,Donauwörth
1295,27,Wien
1299,142,Ingolstadt
1300,32,München
1301,29,Engelhartszell
1303,27,Wien
1305,11,Regensburg
1307,11,Regensburg
1308,143,Donaustauf
9930,30,Laufen
1312,60,Sandbach
1315,100,Donauwörth
1317,4,Aschach
1318,121,Nußdorf (am Inn)
1319,54,Wasserburg
34005,9,Hall
1322,9,Hall
1325,16,Lechbruck
1329,62,Augsburg
1337,27,Wien
1338,28,Freizell/Marsbachzell
1339,4,Aschach
22470,11,Regensburg
1346,27,Wien
1349,30,Laufen
1351,60,Sandbach
1352,105,Reinhausen
1353,60,Sandbach
1354,252,Marsbach
1355,55,Putzleinsdorf
1357,5,von der Mühl
1358,8,Kufstein
1359,9,Hall
1360,27,Wien
1361,27,Wien
1365,60,Sandbach
1368,146,Neustadt an der Donau
1369,16,Lechbruck
1370,27,Wien
1371,41,Deggendorf
1372,147,Sprinzenstein
1373,22,Straubing
1374,8,Kufstein
1378,149,Ischl
1379,13,Obernzell/Hafnerzell
1380,11,Regensburg
1381,66,von der Ranna
1382,175,Neuburg am Inn
4710,59,Seestetten
1385,33,Hofkirchen (im Mühlkreis)
1386,8,Kufstein
1387,151,Eichstätt
1388,40,Bogenberg
1389,30,Laufen
20935,619,Schläglhütte
1411,11,Regensburg
1417,27,Wien
1424,15,Ulm
1428,10,Passau
1429,30,Laufen
1430,27,Wien
1433,27,Wien
1441,10,Passau
1442,66,von der Ranna
1443,92,Vilshofen
1444,16,Lechbruck
1445,153,Säusenstein
1446,38,Pupping
1449,11,Regensburg
1457,9,Hall
1458,95,Mauthausen
1459,13,Obernzell/Hafnerzell
1462,64,Obernberg (am Inn)
1465,26,Wesenufer
1468,60,Sandbach
1469,83,Häuseln
1470,154,Schlägl
1471,86,Mittenwald
1474,85,Einöd (Passau)
1475,66,von der Ranna
1476,155,Puesen
1477,15,Ulm
1478,15,Ulm
1479,61,Landshut
1480,21,Salzburg
1484,61,Landshut
1485,225,Neuhaus (an der Donau)
1486,9,Hall
1494,157,Dingolfing
1495,26,Wesenufer
1496,14,Kobling
1497,12,Pressburg
9864,178,Neuburg an der Donau
1499,27,Wien
1500,522,Erlangen
1502,27,Wien
1505,27,Wien
1506,27,Wien
1508,27,Wien
1509,27,Wien
1511,1157,Duggendorf
1512,155,Puesen
1514,13,Obernzell/Hafnerzell
1515,157,Dingolfing
1516,35,Grafenau
1517,13,Obernzell/Hafnerzell
1518,11,Regensburg
1519,11,Regensburg
1521,2,Nürnberg
1523,11,Regensburg
1526,1364,Blumau (Schlierbach)
1527,4,Aschach
1529,10,Passau
1537,11,Regensburg
23004,65,Brandstatt
1540,10,Passau
1541,16,Lechbruck
1557,69,Schärding
1565,158,Freising
1566,9,Hall
1568,24,Tölz
1569,27,Wien
1571,17,Steyr
1573,1157,Duggendorf
1574,30,Laufen
1575,100,Donauwörth
1576,62,Augsburg
1579,62,Augsburg
1583,57,Landau
1584,159,Garmisch
1586,29,Engelhartszell
1589,42,Hallein
1590,16,Lechbruck
1591,16,Lechbruck
1592,9,Hall
1594,92,Vilshofen
1595,5,von der Mühl
1596,66,von der Ranna
1602,32,München
1607,2,Nürnberg
1610,1183,Schaffhausen
22721,21,Salzburg
1616,3,Linz
1624,62,Augsburg
1630,62,Augsburg
1633,27,Wien
1634,27,Wien
1648,9,Hall
1650,27,Wien
1655,11,Regensburg
1659,27,Wien
1660,27,Wien
1668,44,Ottensheim
1670,96,Salzmann
1671,3,Linz
1672,13,Obernzell/Hafnerzell
1678,62,Augsburg
1679,30,Laufen
1680,8,Kufstein
1682,16,Lechbruck
1691,66,von der Ranna
1692,66,von der Ranna
1693,101,Schalding
1694,15,Ulm
1695,385,Schaden
1696,30,Laufen
1699,27,Wien
1700,27,Wien
1706,27,Wien
22326,9,Hall
1712,27,Wien
1718,45,Lembach
1719,85,Einöd (Passau)
1720,28,Freizell/Marsbachzell
1721,66,von der Ranna
1722,165,Prielhof
1723,9,Hall
1725,27,Wien
1732,42,Hallein
1734,166,Fall
1737,44,Ottensheim
1753,27,Wien
39032,267,Grieskirchen
38032,27,Wien
1762,27,Wien
1763,168,Gämblau
1764,169,Großetzenberg
1768,66,von der Ranna
1769,30,Laufen
1771,66,von der Ranna
1772,11,Regensburg
1786,27,Wien
1788,170,Raab
1789,24,Tölz
1790,87,von der Au
1791,171,Schwarzenberg
1792,51,Kelheim
1794,33,Hofkirchen (im Mühlkreis)
1795,172,Waldkirchen
1796,55,Putzleinsdorf
1797,173,Neufelden
1798,45,Lembach
1799,45,Lembach
1800,173,Neufelden
1801,45,Lembach
1803,174,Haarschedl
1804,175,Neuburg am Inn
1805,144,Rohrbach (in Oberösterreich)
1809,3,Linz
1810,176,Söldenau
1811,30,Laufen
10034,3,Linz
1823,27,Wien
1828,121,Nußdorf (am Inn)
1829,4,Aschach
1830,144,Rohrbach (in Oberösterreich)
1831,13,Obernzell/Hafnerzell
1832,19,Berchtesgaden
1835,66,von der Ranna
1836,173,Neufelden
1837,103,Haslach
1838,45,Lembach
1841,178,Neuburg an der Donau
1843,16,Lechbruck
1845,49,Stadtamhof
1847,27,Wien
1851,66,von der Ranna
1857,62,Augsburg
1858,522,Erlangen
1862,62,Augsburg
1863,180,St. Nikola
1864,16,Lechbruck
1865,424,Aitrach
1867,55,Putzleinsdorf
1868,55,Putzleinsdorf
1872,173,Neufelden
1873,173,Neufelden
1875,182,Aigen (im Mühlkreis)
1876,103,Haslach
1877,182,Aigen (im Mühlkreis)
1878,144,Rohrbach (in Oberösterreich)
1879,144,Rohrbach (in Oberösterreich)
1880,183,Sarleinsbach
1881,45,Lembach
1882,4,Aschach
1883,55,Putzleinsdorf
1884,13,Obernzell/Hafnerzell
1885,3,Linz
1887,159,Garmisch
1888,30,Laufen
1892,27,Wien
1902,126,Windorf
1903,225,Neuhaus (an der Donau)
1907,15,Ulm
35907,1171,Erlach
1910,29,Engelhartszell
1914,4,Aschach
1915,185,Hinderlachen
19586,3,Linz
1918,42,Hallein
1920,30,Laufen
1921,186,Vornbach
1922,110,Reichersberg
1923,701,Suben
1924,19,Berchtesgaden
1926,128,Innsbruck
1932,2,Nürnberg
1934,183,Sarleinsbach
1935,137,Eich
1936,16,Lechbruck
1937,225,Neuhaus (an der Donau)
1939,10,Passau
1940,55,Putzleinsdorf
1941,66,von der Ranna
1943,27,Wien
1944,27,Wien
1950,290,Griesbach (Untergriesbach)
1951,189,Hagen
1953,190,Waizenkirchen
1961,87,von der Au
1962,10,Passau
1963,191,Ettal
1964,59,Seestetten
1965,60,Sandbach
15089,89,Krems
1967,29,Engelhartszell
1971,127,Pleinting
1973,192,Hainburg
1977,27,Wien
1983,3,Linz
1987,29,Engelhartszell
1998,16,Lechbruck
2002,27,Wien
2008,62,Augsburg
2010,193,Wilhering
2013,98,Schongau
2014,29,Engelhartszell
2015,16,Lechbruck
2016,57,Landau
2017,194,Lambach
2018,195,Wald
2019,145,Klosterneuburg
2020,27,Wien
2028,16,Lechbruck
2030,196,Landshaag
2036,66,von der Ranna
2039,16,Lechbruck
2043,27,Wien
2047,15,Ulm
2049,9,Hall
2050,128,Innsbruck
2051,9,Hall
16538,3,Linz
2060,89,Krems
2063,121,Nußdorf (am Inn)
2071,27,Wien
2072,12,Pressburg
2079,15,Ulm
2080,29,Engelhartszell
2081,2,Nürnberg
2082,31,St. Georgen
2084,30,Laufen
2085,167,Melk
2087,197,Deckelstein
2088,2,Nürnberg
2089,21,Salzburg
2094,4,Aschach
2100,35,Grafenau
2101,35,Grafenau
10112,167,Melk
2104,13,Obernzell/Hafnerzell
2106,2,Nürnberg
2109,5,von der Mühl
2110,199,Niederkappel
2112,27,Wien
2116,2,Nürnberg
2119,2,Nürnberg
2122,15,Ulm
2124,4,Aschach
2127,2,Nürnberg
2129,57,Landau
2130,57,Landau
2131,9,Hall
2132,3,Linz
2133,3,Linz
2139,118,Regen
2141,190,Waizenkirchen
2142,25,Eferding
2143,17,Steyr
2144,8,Kufstein
2145,202,Enns
2146,203,Hohenfurch
2147,51,Kelheim
2148,204,Rossgraben
2149,114,Pielenhofen
2150,11,Regensburg
2151,3,Linz
2152,3,Linz
2156,2,Nürnberg
2159,60,Sandbach
2160,13,Obernzell/Hafnerzell
2161,204,Rossgraben
2162,82,Braunau (am Inn)
2164,10,Passau
2165,15,Ulm
2166,5,von der Mühl
2168,29,Engelhartszell
2170,127,Pleinting
2171,95,Mauthausen
2178,206,Gramastetten
2179,207,Enghagen
2180,312,Esternberg
2181,4,Aschach
2182,66,von der Ranna
2183,146,Neustadt an der Donau
2185,7,Rosenheim
2186,66,von der Ranna
2187,95,Mauthausen
2189,66,von der Ranna
2191,11,Regensburg
2199,797,Frankfurt am Main
2205,210,Altötting
2207,27,Wien
2208,30,Laufen
9524,553,Marktl
2213,21,Salzburg
2217,211,Krachenhausen
2218,212,Heitzenhofen
2219,66,von der Ranna
2220,213,Osternach
2221,11,Regensburg
2222,214,Illereichen
28132,8,Kufstein
2304,176,Söldenau
2305,30,Laufen
2231,216,Schlögen
2232,29,Engelhartszell
2234,27,Wien
2235,1,Neuhaus
2237,9,Hall
2238,5,von der Mühl
2303,1157,Duggendorf
2243,27,Wien
2248,62,Augsburg
2250,62,Augsburg
2253,11,Regensburg
2262,4,Aschach
2263,49,Stadtamhof
2267,9,Hall
2268,66,von der Ranna
2270,26,Wesenufer
2271,217,Gestitz
2275,27,Wien
2280,16,Lechbruck
2281,215,Wörgl
2282,59,Seestetten
2284,30,Laufen
2285,17,Steyr
2290,155,Puesen
2299,66,von der Ranna
2300,218,Haunersdorf
2302,17,Steyr
2307,87,von der Au
2308,5,von der Mühl
2309,225,Neuhaus (an der Donau)
2311,220,Pesenbach
2312,221,See
2313,11,Regensburg
38386,431,Stadl
2321,11,Regensburg
2322,27,Wien
2327,114,Pielenhofen
2334,57,Landau
2335,21,Salzburg
2349,223,Dietzendorf
2350,221,See
2351,100,Donauwörth
2352,7,Rosenheim
30315,1355,Mühldorf (Oberösterreich)
2360,25,Eferding
2365,69,Schärding
2367,138,Rattenberg
2368,9,Hall
2373,27,Wien
2375,40,Bogenberg
2377,167,Melk
2378,134,Tittmoning
2381,10,Passau
2382,10,Passau
2384,17,Steyr
2385,11,Regensburg
2388,11,Regensburg
2392,30,Laufen
2394,25,Eferding
2395,14,Kobling
2396,26,Wesenufer
2397,4,Aschach
2398,309,Gstöttenau
2403,27,Wien
2406,103,Haslach
2407,10,Passau
29861,568,Dornbach
2409,62,Augsburg
2410,62,Augsburg
2413,27,Wien
2420,13,Obernzell/Hafnerzell
2421,13,Obernzell/Hafnerzell
2433,4,Aschach
2435,89,Krems
2436,225,Neuhaus (an der Donau)
2437,96,Salzmann
2438,10,Passau
2441,28,Freizell/Marsbachzell
2442,27,Wien
2445,7,Rosenheim
2446,226,Abensberg
2447,7,Rosenheim
2448,30,Laufen
2449,44,Ottensheim
2451,312,Esternberg
2461,30,Laufen
2462,227,Gran
2464,2,Nürnberg
2470,110,Reichersberg
2475,229,Stockerau
2476,10,Passau
2478,30,Laufen
2479,8,Kufstein
2482,223,Dietzendorf
2483,3,Linz
21667,383,Wörth
2489,13,Obernzell/Hafnerzell
2490,27,Wien
2497,45,Lembach
2498,66,von der Ranna
2499,195,Wald
2504,44,Ottensheim
2506,195,Wald
2507,86,Mittenwald
2508,74,Altenhof
2509,3,Linz
2510,24,Tölz
2511,44,Ottensheim
2516,182,Aigen (im Mühlkreis)
2527,103,Haslach
2528,33,Hofkirchen (im Mühlkreis)
2529,45,Lembach
2532,55,Putzleinsdorf
2534,173,Neufelden
2535,173,Neufelden
2536,55,Putzleinsdorf
2538,173,Neufelden
2540,173,Neufelden
39213,175,Neuburg am Inn
2542,15,Ulm
2543,9,Hall
2552,13,Obernzell/Hafnerzell
2557,3,Linz
2559,312,Esternberg
2562,144,Rohrbach (in Oberösterreich)
2563,49,Stadtamhof
2564,17,Steyr
2571,3,Linz
2575,27,Wien
2576,25,Eferding
2581,59,Seestetten
2582,11,Regensburg
2583,30,Laufen
2584,155,Puesen
2586,77,Neuburg
2588,206,Gramastetten
2589,44,Ottensheim
2590,230,Schmidelsau
2591,5,von der Mühl
2592,10,Passau
2597,25,Eferding
2598,29,Engelhartszell
2600,221,See
2601,27,Wien
2603,522,Erlangen
2607,233,Prustl
2608,9,Hall
2612,27,Wien
2613,3,Linz
2615,234,Aldersbach
2617,60,Sandbach
2618,55,Putzleinsdorf
2619,261,Ebelsberg
2621,25,Eferding
2622,27,Wien
2623,28,Freizell/Marsbachzell
2625,87,von der Au
2626,11,Regensburg
2630,89,Krems
23012,797,Frankfurt am Main
2643,8,Kufstein
2644,7,Rosenheim
2645,8,Kufstein
11438,610,Jengen
12978,11,Regensburg
2651,27,Wien
2653,24,Tölz
2654,49,Stadtamhof
2656,42,Hallein
4758,9,Hall
2660,98,Schongau
2667,27,Wien
2670,522,Erlangen
2671,73,Wels
2672,27,Wien
2680,100,Donauwörth
2682,15,Ulm
2688,775,Alkoven
2689,32,München
2692,9,Hall
2696,24,Tölz
2697,127,Pleinting
2698,239,Bogen
2699,30,Laufen
2703,24,Tölz
2709,27,Wien
2718,9,Hall
2726,13,Obernzell/Hafnerzell
2728,98,Schongau
2729,13,Obernzell/Hafnerzell
2736,62,Augsburg
2737,62,Augsburg
2742,8,Kufstein
2744,24,Tölz
2745,33,Hofkirchen (im Mühlkreis)
2746,202,Enns
22808,27,Wien
2748,98,Schongau
2752,159,Garmisch
2765,68,Neukirchen am Walde
2767,240,Primsdobl
2768,60,Sandbach
2769,241,Ammergau
2770,42,Hallein
2771,242,Mering
2778,385,Schaden
2780,19,Berchtesgaden
2781,9,Hall
2791,27,Wien
2793,243,Gaishofen
2794,35,Grafenau
3096,27,Wien
2802,27,Wien
2804,10,Passau
10343,127,Pleinting
2808,27,Wien
2812,21,Salzburg
2821,142,Ingolstadt
2823,244,Krummnußbaum
2826,3,Linz
2837,245,Herzogenburg
2840,64,Obernberg (am Inn)
2843,105,Reinhausen
2847,9,Hall
2851,246,Korneuburg
2853,211,Krachenhausen
2860,11,Regensburg
2863,126,Windorf
2864,7,Rosenheim
2865,30,Laufen
2866,30,Laufen
2867,87,von der Au
2868,25,Eferding
2869,10,Passau
2870,4,Aschach
2871,2,Nürnberg
2873,2,Nürnberg
2876,247,Lauingen
2879,148,Ungarn
2880,21,Salzburg
2882,27,Wien
2889,15,Ulm
2890,26,Wesenufer
2891,44,Ottensheim
2892,33,Hofkirchen (im Mühlkreis)
2894,29,Engelhartszell
2900,87,von der Au
2901,2,Nürnberg
2902,11,Regensburg
2904,2,Nürnberg
2910,1237,Basel
2912,522,Erlangen
2915,2,Nürnberg
2918,8,Kufstein
2922,8,Kufstein
2934,27,Wien
2935,180,St. Nikola
2936,3,Linz
2937,92,Vilshofen
2939,68,Neukirchen am Walde
2940,243,Gaishofen
2941,33,Hofkirchen (im Mühlkreis)
2942,15,Ulm
2943,129,Audorf (Ober-)
2945,9,Hall
2951,2,Nürnberg
2954,2,Nürnberg
2956,11,Regensburg
2959,30,Laufen
2960,9,Hall
2961,171,Schwarzenberg
2964,98,Schongau
2965,13,Obernzell/Hafnerzell
2966,12,Pressburg
2967,9,Hall
2968,51,Kelheim
2969,44,Ottensheim
2976,27,Wien
2979,30,Laufen
2981,17,Steyr
2986,192,Hainburg
2994,250,Wegenstois
2995,13,Obernzell/Hafnerzell
2996,16,Lechbruck
3000,247,Lauingen
