ladung_zielortId,ladungId,zielort
465,12647,10
466,12648,10
467,12654,180
468,12655,3
469,12660,27
470,12663,27
471,12664,27
472,12665,27
3238,92686,3
3848,111658,27
476,12758,27
477,12760,27
478,12797,27
479,12799,324
480,12804,3
481,12812,27
482,12877,27
3246,92855,27
484,12882,27
3245,13998,3
3244,92823,11
487,12913,3
488,12922,154
489,12924,27
490,12930,3
491,12934,10
3242,61443,112
493,12940,32
494,12941,30
3241,61442,27
496,12984,10
497,12996,4
498,13032,229
499,13065,112
500,13151,27
501,13152,112
502,13187,3
503,13200,3
504,13213,27
505,13218,281
506,13251,27
507,13252,27
508,13253,27
509,13284,27
510,13291,3
511,13319,179
512,13342,89
513,13501,173
514,13532,27
515,13561,27
516,13562,27
517,13563,27
518,13570,10
519,13616,27
520,13617,27
521,13618,27
522,13652,179
523,13658,3
524,13716,27
525,13721,27
526,13722,27
3243,13893,10
528,13818,3
529,13823,329
530,13827,3
531,13913,27
532,13919,27
533,13957,11
534,13997,3
535,14042,27
536,14054,27
537,14056,175
538,14059,10
539,14062,27
540,14112,344
541,14127,27
542,14129,3
543,14130,112
544,14131,3
545,14171,27
546,14213,13
547,14263,27
548,14274,3
549,14278,3
550,14300,27
551,14306,3
552,14311,6
553,14413,27
554,14416,27
555,14450,27
556,14538,27
557,14541,3
558,14637,27
559,14672,3
560,14673,264
561,14748,11
562,14752,10
563,14760,74
564,14774,25
565,14777,3
566,14932,3
567,14961,3
568,14970,3
569,14973,44
570,14975,3
571,14982,3
572,14995,3
573,15003,3
574,15008,44
575,15011,3
576,15014,3
577,15027,3
578,15044,3
579,15056,27
580,15061,3
581,15065,3
582,15066,44
583,15067,3
584,15087,27
585,15092,73
586,15093,25
3277,93492,3
588,15229,27
589,15241,3
590,15242,27
591,15329,27
592,15331,27
593,15332,38
594,15403,344
595,15404,344
596,15447,27
597,15471,354
598,15488,27
599,15491,1
600,15492,1
601,15545,355
602,15562,27
603,15579,4
604,15584,95
605,15585,95
606,15646,27
607,15648,27
608,15700,10
609,15798,3
610,15802,167
611,15807,358
612,15864,27
613,15963,3
614,16023,74
615,16240,27
616,16247,44
617,16251,27
618,16256,3
619,16282,27
620,16287,154
621,16320,3
622,16435,3
623,16533,27
624,16584,112
625,16587,44
626,16593,3
627,16667,27
628,16671,148
629,16735,4
630,16738,148
631,16743,27
632,16777,25
633,16778,27
634,16868,210
635,16949,32
636,16955,77
3314,94014,3
638,16966,3
639,16973,27
640,17082,148
641,17087,112
642,17095,3
643,17119,148
644,17122,6
645,17125,148
646,17140,148
647,17145,148
648,17154,27
649,17171,27
650,17175,27
651,17309,27
652,17310,27
653,17315,3
654,17339,27
655,17411,265
656,17435,11
657,17475,12
658,17587,4
659,17609,27
660,17645,112
661,17658,112
662,17671,379
663,17725,27
664,17726,17
665,17843,27
666,17854,27
667,17859,3
668,17882,112
669,17910,112
670,18054,3
671,18119,27
672,18146,27
673,18145,27
674,18147,27
675,18183,148
676,18184,27
677,18187,6
678,18225,148
679,18349,89
680,18353,343
681,18381,27
682,18382,148
683,18455,27
684,18467,27
685,18468,27
686,18487,10
687,18488,10
5555,161179,3
689,18593,3
690,18688,27
691,18709,3
692,18721,27
693,18769,3
694,18841,210
695,18849,44
696,18854,392
697,18881,11
698,18928,27
699,18931,27
700,18946,3
701,18949,148
702,18983,27
703,19057,27
704,19069,27
705,19076,395
706,19078,27
707,19080,27
708,19153,3
709,19253,398
710,19259,1
711,19261,3
712,19271,27
713,19279,21
714,19300,27
715,19302,4
716,19399,74
3565,19653,3
718,19523,148
6699,111218,27
720,19528,27
721,19532,55
722,19554,4
7020,21286,1
7019,209162,112
725,19661,3
726,19665,27
727,19666,27
728,19688,148
729,19690,148
730,19691,173
731,19693,133
732,19712,11
733,19721,11
734,19780,27
735,19796,3
736,19801,27
737,19808,27
738,19809,112
739,19919,3
3585,102878,526
741,19995,3
742,20081,4
743,20131,10
3587,102928,27
745,20199,3
746,20203,11
747,20222,27
748,20310,27
749,20313,148
750,20321,3
751,20356,354
752,20357,354
753,20367,44
754,20375,3
755,20473,1
756,20571,3
757,20601,27
758,20608,148
759,20618,148
760,20660,179
761,20697,3
762,20744,27
763,20834,148
764,20835,3
765,20846,3
3588,21021,27
767,20892,264
768,20915,11
769,20944,148
770,20945,27
771,20977,251
772,21049,27
773,21091,3
774,21097,3
775,21110,27
776,21114,3
777,21135,27
778,21178,133
779,21182,27
780,21199,1
781,21284,148
782,21288,10
783,21324,3
784,21327,1
785,21353,3
786,21392,3
787,21410,148
788,21411,3
789,21502,27
790,21506,3
791,21518,13
792,21530,10
793,21552,3
794,21553,3
795,21557,112
796,21573,148
797,21603,27
798,21625,3
799,21740,430
800,21754,27
801,21803,10
802,21809,3
803,21824,432
3664,21936,10
805,21867,3
806,21878,3
807,21893,27
808,21951,32
809,21958,148
810,21967,435
811,22162,27
812,22216,27
813,22514,3
814,22572,27
815,22580,3
816,22649,44
817,22669,3
818,22673,1
819,22676,112
820,22679,27
821,22711,112
822,22792,565
823,22794,167
824,22828,27
825,22832,3
826,22836,442
827,22864,3
828,22893,27
829,22936,3
830,22973,11
831,22995,3
832,23041,3
833,23159,3
835,23362,3
836,23361,3
837,23442,3
838,23443,3
839,23473,3
840,23482,27
841,23533,3
842,23542,3
843,23551,449
844,23554,4
845,23575,3
846,23587,1
3854,111792,3
848,23752,3
849,23758,3
850,23765,3
851,23779,3
852,23813,27
853,23887,27
854,23902,3
855,23904,443
857,23961,27
858,23962,27
859,23982,3
860,24003,27
861,24004,3
862,24006,3
863,24030,38
864,24032,3
865,24038,3
867,24054,27
868,24116,27
869,24183,3
870,24184,3
871,24216,27
872,24225,3
873,24239,27
874,24241,3
875,24242,27
876,24246,3
877,24260,3
878,24307,458
879,24308,18
880,24414,27
881,24455,27
882,24556,27
883,24617,10
884,24739,27
885,24815,3
886,24882,3
887,24920,3
888,24936,3
889,24964,167
890,25053,3
891,25078,44
892,25124,27
893,25156,3
894,25210,27
895,25218,3
896,25267,27
897,25273,3
898,25284,112
899,25339,1
900,25343,3
901,25366,3
902,25369,354
904,25380,27
905,25488,27
906,25491,3
907,25527,3
908,25657,43
909,25666,112
910,25676,112
911,25686,3
912,25690,27
914,25727,89
915,25882,27
916,25888,10
917,25891,248
918,25892,3
919,25903,430
920,25904,130
921,25917,112
922,25926,27
923,25976,151
924,25985,27
925,26163,25
926,26166,3
927,26174,112
928,26175,1
929,26187,3
930,26203,3
931,26205,27
932,26210,29
933,26268,27
934,26287,10
935,26361,404
936,26407,27
937,26411,112
938,26425,3
939,26436,27
940,26447,112
941,26450,27
942,26459,112
943,26481,3
944,26483,3
945,26487,3
946,26490,112
947,26496,112
948,26497,112
949,26516,27
950,26544,27
951,26553,3
952,26573,167
953,26594,112
954,26610,112
955,26606,112
956,26621,27
957,26623,27
958,26626,3
959,26630,112
960,26636,27
961,26638,112
962,26640,112
963,26643,10
964,26659,112
965,26663,3
966,26664,3
967,26676,112
968,26682,112
969,26694,1
970,26699,27
971,26701,112
972,26710,112
973,26712,44
974,26724,11
975,26725,11
976,26728,27
977,26733,3
978,26739,27
979,26746,112
980,26773,25
981,26862,112
982,26920,179
983,26931,27
984,26932,112
985,26981,27
986,26989,11
987,26996,10
988,27015,3
989,27017,112
990,27067,10
991,27075,3
992,27093,471
993,27098,38
994,27107,112
995,27167,112
996,27191,112
997,27195,112
998,27196,387
999,27202,112
1000,27206,55
1001,27211,112
1002,27219,112
1003,27231,112
1004,27232,112
1005,27234,27
1006,27236,112
1007,27238,112
1008,27257,3
1009,27260,3
1010,27290,112
1011,27295,112
1012,27321,3
1013,27327,112
1014,27331,167
1015,27332,112
1016,27335,3
1017,27484,199
1018,27510,11
1019,27511,11
1020,27539,3
1021,27552,148
3817,109465,27
3816,110973,3
1024,27568,4
1025,27575,112
1026,27596,27
1027,27598,3
1028,27676,315
1029,27761,10
1030,27762,179
1031,27776,112
1032,27778,3
1033,27863,27
1034,27991,225
1035,28005,27
1036,28007,44
1037,28008,3
1038,28013,55
1039,28035,10
1040,28036,173
1041,28045,11
1042,28158,27
1043,28172,27
1044,28184,27
1045,28209,112
1046,28231,27
1047,28238,10
1048,28243,3
1049,28281,112
1050,28285,112
1051,28305,449
1052,28331,133
1053,28382,27
1054,28383,45
1055,28389,3
1056,28395,27
1057,28402,27
1058,28399,27
1059,28467,38
1060,28502,27
1061,28512,10
1062,28524,27
1063,28542,27
1064,28543,29
1065,28544,18
1066,28575,3
1067,28584,3
1068,28599,112
1069,28615,3
1070,28650,3
1071,28653,112
1072,28681,27
1073,28761,180
1074,28764,3
1075,28767,3
1076,28805,27
1077,28816,292
1078,28817,322
1079,28818,10
4075,118484,27
4074,118367,15
4073,118359,11
4072,118348,112
4071,118343,27
1085,28880,27
1086,28918,173
1087,28957,3
1088,28959,10
1089,29012,3
1090,29015,112
4077,118772,3
4095,120113,11
4094,119987,27
4090,119843,112
1095,29107,27
1096,29108,27
4089,119714,27
1098,29130,160
1099,29163,27
1100,29228,27
1101,29288,27
1102,29325,27
1103,29341,27
1104,29342,27
1105,29343,27
1106,29344,27
1107,29345,27
1108,29346,27
1109,29347,27
1110,29348,27
1111,29349,27
1112,29372,27
1113,29374,27
1114,29469,27
1115,29470,27
1116,29471,27
1117,29472,27
1118,29483,3
1119,29491,27
1120,29493,112
1121,29497,112
1122,29590,1
1123,29638,227
1124,29641,3
1125,29672,178
1126,29683,178
1129,29700,10
1130,29805,11
1131,29810,342
1132,29818,15
1133,29877,3
1134,29890,27
1135,29892,10
1136,29893,10
1137,29894,10
1138,29895,29
1139,29896,175
1140,29373,27
1141,29984,27
1142,29985,27
1143,30013,344
1144,30023,27
1145,30024,3
1146,30059,1137
1147,30083,27
1148,30085,315
1149,30208,374
1150,30240,3
1151,30248,3
1152,30284,3
1153,30317,27
1154,30328,27
1155,30329,27
1156,30330,27
1157,30334,3
1158,30337,3
1159,30341,45
4093,119950,112
1162,30422,10
1163,30430,344
1164,30432,344
1165,30433,344
5564,161486,27
1167,30528,27
1168,30540,3
1169,30547,27
1170,30558,3
1171,30561,3
1172,30564,29
1173,30578,3
1174,30579,25
1175,30586,112
1176,30673,32
1177,30712,27
1178,30714,27
1179,30768,3
1180,30809,27
1181,30863,27
1182,31009,27
1183,31013,3
1184,31055,3
1185,31062,10
1186,31071,148
1187,31087,3
1188,31220,27
1189,31254,497
1190,31299,3
1191,31296,3
1192,31304,27
1193,31312,3
1194,31355,27
1195,31356,27
1196,31371,3
1197,31374,27
1198,31402,179
1199,31404,3
1200,31415,27
1201,31483,10
1202,31482,10
1203,31670,3
1204,31679,27
1205,31689,3
4092,119948,112
1207,31802,27
1208,31816,4
1209,31817,4
4091,119912,27
1211,31872,3
1212,31913,27
1214,31943,4
1215,31946,4
1216,32117,38
