vornameId,vorname,vorname_bemerkungen
285,Kaspar Balthasar,
286,Sigmund,
287,Maria Anna,
288,Adam Joachim,
289,Johanna,
290,Johann Dominicus,Johann Dominique
291,Johann Zacharias,
292,Salvator,"Salvator, Valnator, Salvador"
293,Leopold Anton,
294,Eusebius,
295,Andre Adam,
296,Erasmus,
297,Ferdinand Maria Innozenz,
298,Marco,
299,Wolf Moises,Wolf Moyses
300,Niklas Sebastian,
301,Johann Ignaz,
302,Justus Daniel,
303,Gottfried Johann,
304,Jakob Joseph,
305,Anton Ignaz,
306,Joseph Georg,
307,Georg Peter,
308,Faustino,
309,Christoph Anton,
310,Christian August,Alternativ auch: Christian Augustin.
311,Anton Sebastian,
1110,Zacharias Wilhelm,Zach: Wilhelm
313,Ernst Friedrich,
314,Ludwig,Selten auch Ludovico.
316,Rosina,
317,Diego,
318,Norbert,
319,Franz Adam,
320,Egmund Gottfried,Alternativ: Egmond Gottfried
321,Maria Regina,
322,Balthasar Heinrich,
323,Wolfgang Thomas,
324,Heinrich Gottfried,
325,Pankraz,Alternativ: Bongräz
327,Georgius,
1108,Anna Eva,Anna Eua
330,Rupp,
331,Julius,Alternativ: Julio.
332,Augustin Gottlieb,
333,Heinrich Simon,
334,Johann Karl,
336,Wolfgang Moritz,
337,Andre Jakob,
339,Franz Xaver,
340,Marquard,
341,Peter Zacharias,
342,Marco Antonio,
343,Matthias Franz,
344,Thomas Joseph,
345,Paul Franz,
346,Silvester,
347,Garogno,"Garogno, Garognor. Evtl. auch Nachname."
348,Moises,
349,Christoph Samuel,
350,Christoph Ignaz,
351,Tobias Michael,
352,Crispinus,
353,Bonhomo,
354,Johann Werner,
355,Jakob Prosper,
356,Christoph Christian,
357,Nikodemus,
358,Georg Niklas,
359,Mager,Lesung Quelle: Mager oder Moger. Bedeutung unbekannt.
360,Johann Joachim,
361,Georg Heimbold,Quelle: Georg Haimbol. Evtl. Georg Hannibal.
363,Ludwig Anton,Selten auch Ludovico Antonio.
364,Christian Joseph,
365,Wolf Karl,
367,Otto Friedrich Ferdinand,
368,Joseph Cölestin,
369,Johann Dietrich,
370,Matthias Anton,
371,Lambrecht,
372,Ernst,
373,Wolf Christoph,
987,Jesaja,"Isaias, Esaias"
375,Franz Niklas,
376,Johann Ehrenreich,
377,Jonas,
912,Sigmund Joseph,
380,Johann Gregor,
381,Franz Matthias,
382,Ferdinand Friedrich,
383,Simon Adam,
384,Ignaz Joseph,
385,Primus,Brimus
386,Gottfried Christian,
387,Georg Thomas,
388,Achatz,Achatius
389,Franz Christoph,
390,Karl Franz,Alternativ: Karl Francois.
391,Thomas Theodor,
392,Maria Salome,
393,Johann Anton Joseph,
394,Simon Karl,
395,Georg Gottfried,
396,Georg Sigmund,
397,Maria Franziska,
399,Johann Leopold,
400,Sara,
401,Johann Marx,
402,Paul Karl,
403,Anton Michael,
404,Eustachius,
405,Ehrenreich Wilhelm,
406,Franz Ludwig,
407,Renato,
408,Erhard Anton,
409,Sebastian Ignaz,
410,Jakob Ignaz,
411,Georg Lorenz,
412,Doss,
1686,Paolo,
414,Johann Gabriel,
415,Eva,
416,Rochus,"Rohus, Rocho, Rocco"
417,Christoph Heinrich,
419,Eberhard Friedrich,
420,Wolf Kaspar,
421,Jakob Emanuel,
422,Michael Anton,
423,Baptist,"Baptist, Battista, Batta. Pabst"
424,Marx Anton,
425,Paul Bernhard,
426,Christoph Wilhelm,
427,Johann Balthasar,
428,Raphael,
429,Josue,
430,Gotthard Wilhelm,
431,Franz Gabriel,
432,Kaspar Bernhard,
433,Christoph Daniel,
434,Dorothea,
435,Michael Heinrich,
436,Sebastian Gottlieb,
437,Engelbert,
438,Joseph Jakob,
439,Nicola,
440,Kilian,
441,Adam Franz,
442,Johann Hermann,
443,Wolf Sigmund,
444,Andre Gottlieb,
445,Wolf Philipp,
446,Christoph Ludwig,
1114,Ottomann,"Quelle: Othomanns. Unklar ob Vorname, evtl. Familienname"
448,Fernandes,
449,Willibald,"Williwalth, Wilibold, Wüllewolth, Willewolth"
450,Colman,
451,Franz Wenzel,
452,Gumpel,
453,Wolf Ferdinand,
454,Fidelis,
455,Joseph Ignaz,
456,Anton Leonhard,
457,Jean Charles,
458,Johann Melchior,
459,Christoph Jakob,
460,Michael Franz,
461,Heinrich Niklas,
464,Augustin Lorenz,
465,Prosper,
1028,Bernhard Anton,
467,Kajetan,
468,Heinrich Friedrich,
469,Joseph Zacharias,
470,Friedrich Ignaz,
471,Simon Abraham,
473,Albrecht Marx,
474,Lemel,
1116,Johann Benjamin,
476,Franz Friedrich,
477,Anton Jakob,
478,Samson,Quelle: Simson.
479,Ruprecht Sigmund,
480,Eleonora,
481,Jakob Michael,
483,Giovanni,
484,Ludwig Dominicus,
485,Philipp Heinrich,
486,Franz Gottfried,
487,Francois,
488,Aron,
489,Wolf Elias,
490,Maria Eva,
492,Lukas Friedrich,
493,Herz,
494,Friederman,
495,Georg Martin,
496,Wolf Tobias,auch: Wolfgang Tobias
497,Jakob Friedrich,
498,Juliana,
499,Konrad Paul,
500,Paul Friedrich,
501,Maria Magdalena,
502,Christian Adam,
504,Sabbatini,
505,Johann Camillo,
506,Katharina Elisabeth,
507,Sabina,
508,Lazarus,
509,Jean,
510,Jobst,
511,Matthias Joseph,
512,Baruch,
513,Konrad Albrecht,
514,Samson Seckl,Quelle: Simoson Sekhl.
515,Dominicus Anton,
516,Crescenz,
517,Karl Friedrich,
518,Sophia Ursula,
519,Daniel Wolfgang,
520,Johann Daniel,
521,Friedrich Wilhelm,
523,Werner,
524,Joseph Philipp,
525,Rebekka,Rebecka
526,Johann Bonaventura,
527,Gottfried Wilhelm,
529,Konstantin,
530,Claudius Franz,
531,Joseph Gabriel,
532,Gerson,auch: Gesson
533,Cölestin,
534,Philipp Anton,
535,Johann Gottfried,
536,Simon Judas Thaddäus,
537,Caesarius Otto,
538,Peter Paul,
539,Konrad Abraham,
540,Maria Susanna,
541,Ulrich Anton,
542,Jonas Paul,
543,Peter Xaver,Peter Xaveri
544,Matthias Alexander,
545,Joseph Franz,
546,Christina,
547,Liebmann,"Liebmann, Liebermann"
548,Johann Rochus,
549,Apollonia,
550,Franz Leonhard,
551,Franz Maria,
552,Jakob Oswald,
554,Franz Paul,
555,Joseph Christian,
919,Franz Karl Joseph,
557,Sophia,
558,Thaddäus,
559,Lehmer,"Evtl. Verschreibung von ""Lehman"", ""Lemle""?"
560,Eva Rosina,
561,Konrad Sigmund,
1113,Georg Albert,
563,Klemens,"Alternativ: Clemens, Clement"
564,Theresia,
565,Leopold Christian,
566,Georg Heinrich,
851,Sigmund Cornelius,
568,Mauriz,
569,Kaspar Florenz,
570,Stanislaus,
571,Eberhard,alternativ: Eberhalt
572,Seckl Samson,
573,Johann Thaddäus,
574,Franz Silvester,
576,Karl Ludwig,
577,Paul Niklas,
578,Friedrich Anton,
579,Ferdinand Benedikt,
580,Franz Wilhelm,
581,Leopold Adam,
582,Julius Maria,Julio Maria
583,Wolf Daniel,
585,Manfre,"Manfre, Manfra, Monfer"
586,Georg Joseph,
587,Anna Katharina,
588,Kaspar Leopold,
589,Joseph Elias,
590,Thomas Christian,
591,Johann Fortunat,
592,Reichard Friedrich,
593,Philipp Kaspar,
594,Johann Ernst,
595,Kaspar Johann,
596,Franz Leopold,
597,Laurenz,
598,Gundaker,
599,Marx Lion,Alternativ: Marx Leo.
600,Matthias Wilhelm,
601,Karl Leopold,
941,Zuanne,
603,Johann Augustin,
604,Dominicus Maria,
605,Ignaz Franz,
606,Maria Barbara,
607,Joseph Adrian,
608,Peter Franz,
609,Heinrich Theodor,
610,Daniel Hieronymus,
611,Johann Franz Gottlieb,
612,Rudolf Matthias,
613,J.,
614,Heinrich Wilhelm,
615,Kaspar Joseph,
616,Johann Angelo,
914,Sebastian Gottfried,
618,Model,
619,Georg Magnus,
620,Friedrich Franz,
621,Ferdinand Franz,
622,Mayr,"Meyr, Mayr. Aktuelle Form: Meir."
624,Gandenzo,
625,Cornelius Daniel,
668,Veit Jakob,
628,Tobias Joseph,
629,Maria Sabina,
630,Samuel Simon,
631,Georg Franz,
632,Jakob Anton,
633,Jean Baptist,
634,Christian Daniel,
635,Leopold Joseph,
636,Eva Regina,
637,Vinecate Luisia,
639,Cesare,
641,Susanna,
642,Joseph Klemens,Alternativ: Joseph Clemens/Clement
1099,Gottfried Salomon,
644,Basilius,
645,Othmar,Ottmär
646,Maria Elisabeth,
647,Claudia Regina,
648,Herz Leb,
649,Ernst Jakob,
650,Giuseppe,
651,Georg Dubold,"Alternativ: Georg Dupol, Georg Dubol"
652,Wolf Matthias,
653,Hilarius,
654,Theodor,
655,Jakob Georg,
656,Christian Michael,
657,Friedrich Paul,
658,Emonet,
659,Salome,
662,Gervasius,
663,Wolfgang Erhard,
664,Ignaz Friedrich,
665,Joseph Ferdinand,
666,Friedrich Augustin,
667,Julian,
669,Johann Wenzel,
670,Johann Erhard,
671,Leopold Karl,
1117,Friedrich Alois,
673,Heinrich Christoph,
674,Pantaleon,
675,Dietwald,
676,Johann Wolf Jakob,
677,Anton Maria,
678,Georg Andre,
679,Salomon Levi,
680,Johann Ruprecht,
681,Maria Clara,
682,Leonhard Jakob,
683,Afra,
684,Stephan Maria,
685,Christoph Franz,
686,Paul Martin,
687,Joseph Andre,
688,Kunigunda,
689,Christian Friedrich,
690,Georg Adolf,
691,Georg Stephan,
692,Franz Bernhard,
693,Raimund,Reymundt
694,Juliana Elisabeth,
695,Israel,Alternativ: Isarel
1017,Johann Virgil,
714,Johann Baptist Marco,
698,Claudius Niklas,
699,Johann Georg Benedikt,
700,Jean Amor,
701,Wolfgang Wilhelm,
702,Engelhard,
703,Angelo Maria,
704,Daniel Xaver,
705,Adam Jonathan,
707,Bartolt,"Normalisiert wohl: Berthold, Bertolt."
708,Johann Silvester,
710,Joachim Ernst Walter,
711,Sebastian Paul,
712,Johann Reichard,
864,Fabian,
715,Michael Florian,
716,Magnus,
719,Adam Ferdinand,
720,Konrad Matthias,
721,Melchior Ignaz,
722,Lorenz Michael,
723,Joseph Matthias,
726,Erdmann,"Erdman, Ettman, Edman"
727,Wolf Simon,
728,Helena,
729,Simon Anton,
730,Franz Joseph Anton,
731,Johann Magnus,
732,Leopold Ulrich,
733,Emmerich,
734,Johannes Bonifatius,
735,Marin,
736,Wilhelm Gottfried,
737,Zachäus,
738,Placidus,
739,Nachum,
740,Thomas Gundaker,
741,Johann Bartholomäus,
742,Franz Gregor,
743,Anton Adam,
744,Adrian,
942,Franz Dominicus,
747,Frobenius Ferdinand,
748,Georg Ferdinand,
750,Johann Moritz,
751,Matthias Karl,
752,Matthias Ulrich,
753,Gordian Anton,Quelle: Cordian Anton
754,Johann Adolf,
755,Henoch,
756,Andre Joseph,
757,Johann Matthäus,
758,Georg Gottlieb,
759,Lemle,
760,Wolf Joseph,
761,Antonia,
762,Clara,
763,Adam Friedrich,
764,Karl Ignaz,
765,Johann Justin,
766,Viktor,
767,Georg Moises,
768,Thomas Kaspar,
769,Sybille,
770,Isaak Nathan,
771,Andre Bernhard,
772,Giulio,
773,Hermann Niklas,
774,Christoph Andre,
775,Benedikt Michael,
776,Franz Julio,
777,Adam Anton,
778,Heinrich Daniel,
779,Gaudenz,
780,Angelo,
781,Franz Thaddäus,
782,Fabry,
783,Albrecht Karl,
784,Ignaz Christian,
785,Cordula,
786,Georg Leopold,
787,Tobias Christoph,
788,Johann Jeremias,
1602,J. C.,
791,Emmerich Wilhelm,
792,Maximilian II. Emanuel,
793,Friedrich Ludwig,
794,Ehrenreich,
795,Franz Georg,
796,Anton Christ.,
797,Johann Prosper,
798,Eberhard Ludwig,
799,Joseph Kasimir,
800,Johann Castor,
801,Mechtildis,
802,Matthias Michael,
803,Christoph Theodor,
805,Ehrenwert,
806,Georg Tobias,
807,Leopold Franz,
809,Maximilian Adam,
810,Christoph Adam,
811,Andre Christian,
812,Paul Ludwig,
813,Johann Andreas,
814,Eltert,
815,Ignaz Dominicus,
816,Xaver,
817,Kaspar Rudolf,
818,Wolf Adam,
820,Cosmo,
821,Marco Aurelo,
822,Sebastian Anton,
823,Johann Hieronymus,
824,Johann Achatz,
825,Apostins,Quelle: apostins
826,Joachim Ernst,
827,Johann Georg Konrad,
828,Peter Samson,
829,Ferdinand Ignaz,
880,Wolf Emanuel,
831,Christoph Gottfried,
832,Dietrich,
833,Oratio,
835,Johann Hercules,
836,Georg Balthasar,
837,Daniel Michael,
838,Leopold Kaspar,
839,Joseph Leopold,
840,Johann Georg Wilhelm,
841,Johann Valentin,
842,Anna Theresia,
843,Paul Augustin,
844,Grange,Alternative: Grage
845,Wolf Michael,
846,Johann Elias,
847,Paul Kaspar,
848,Abraham Veit,
849,Johann Egidius,
850,Matthias Christian,
853,Christoph Friedrich,
854,Maria Theresia,
855,Maria Johanna,
856,Wolf Balthasar,
857,Anton Niklas,
859,Lucia,
861,Johann Veit,
862,Johann Lorenz,
863,Georg Anton,
865,Lorenz Peter,
866,Christoph Baptist,
867,Johann Alois,
868,Daniel Friedrich,
869,Jakob Christoph,
870,Bernhard Matthias,
871,Franz Zacharias,
873,Friedrich Gottlieb,
874,Sebastian Christoph,
875,Heinrich Anton Karl,
876,Eibert Heinrich,
877,Martin Karl,
878,Donat,
879,Guido,
881,Peter Andre,
882,Joseph Friedrich,
883,Leopold Andre,
884,Wenzel Franz,
885,Johann Christ.,
886,Ferdinand Ludwig,
887,Wilhelm Alexander,
888,Anna Margareta,
889,Jakob Franz,
890,Daniel Wilhelm,
946,Johann Claudius,
892,Karl Alexander,
893,Kasimir,
894,Wolf Georg,
895,Jakob Theobald,
896,Joseph Anselm,
897,Hartmann,
898,Ludwig Valentin,
899,Friedrich Salomon,
900,Johann Samuel,
901,Anton Lukas,
902,Lehman,
903,Sigmund Karl,
904,Stephan Ferdinand,
905,Anton Karl,
906,Heinrich Christian,
907,Gregor Ignaz,
908,Otto,
909,Peter Maria,
910,Niklas Maria,
911,Kaspar Ignaz,
913,Maximilian Wilhelm,
915,Francesco,
916,Gottfried Anton,
917,Georg Felix,
918,Niklas Christian,
920,Fabrizius,
921,Quanditi,
922,Rochus Maria,
923,Philipp Wilderich,
924,Gotthard Anton,
925,German,
926,Berend,
927,Johann Georg Friedrich,
929,Magdalena Theresia,
930,Coreto,
931,Bartholomäus Anton,
932,Franz Dionysius,
933,Benigno,
937,Nicolas,
938,Justin,
939,Ladislav Adam,
940,Benjamin,
943,Daniel Abraham,
944,Joseph Ernst,
947,Johann Claudius,
948,Albina,
949,Adam Melchior,
1122,Oncento,Oncento. Evtl. Familienname.
953,Nicolo,
954,Georg Bernhard,
955,Lazarus Wolf,
956,Karl Bernhard,
957,Ernst Emanuel,
958,Judith,
959,Joseph Wolfgang,
960,Christian Georg,
961,Maria Judith,
1018,Biaggio,
963,Philipp Adam,
964,Heinrich Philipp,
965,Giacomo,
966,Ernst Gottlieb,
967,Georg Samuel,
968,Franz Thomas,
969,Johann Gotthard,
970,Andre Paul,
971,Edmund,Alternative Schreibung: Erdmonth
972,Mayr Lazarus,
973,Anton Gabriel,
974,Hambert,
975,Wolf Salomon,
976,Franziska,
977,Levin,
979,Karl Richard,
980,Michael Jakob,
983,Seligmann,Seligmon
1107,Ismal,Issmal
986,Balman,
988,Robert,
989,Philipp Eberhard,
990,Wolf Reichard,
992,Leo,
993,Johann Simon,
994,Marx German,
995,Michael Philipp,
996,Karl Paul,
997,Matthias Gottlieb,
998,Georg Konrad,
999,Vinzenz,
1000,Severin,
1001,Christoph Joseph,
1002,Anna Clara,
1003,Joseph Ulrich,
1005,Wolf Gottlieb,
1006,Johann Klemens,Alternativ: Johann/Hanns Clemens/Clement
1008,Georg Karl,
1009,Karl Adam,
1010,Franz Ferdinand,
1011,Jakobina,
1012,Ibrahim,
1014,Johann Theodor,
1015,Joseph Niklas,Joseph Nicolas
1016,Johann Florian,
1019,Ferdinand Zacharias,
1020,Justus Vollrath,Just Vollrath
1021,Franz Alois,Franz Aloyssius
1022,Jakob Paul,Jacob Paul
1023,Wilhelm Georg,Wilhalbm Georg
1024,Franz Andre Wenzel,Franz Andre Wenzl
1026,Martha,"Marta, Martha"
1027,Franz Johann,Franz Johann
1041,Ottavio,"Octavio (span.), Ottavio (ital.)"
1030,Michael Lorenz,Michael Lorenz
1031,Heinrich Ludolf,Hainrich Ludolpho
1052,Johann Gottlob,
1033,Georg Ehrenreich,Georg Ehrnreich
1034,Dove,Dovee
1035,Leb Jakob,
1036,Franz Cölestin,Franz Cellestin
1037,Hochmann,Hochman
1038,Moises Wolf,Moyses Wolf
1039,Jenewein,"Jenewein, Jenobein, Jennewein"
1040,Adolf Gabriel,Adolph Gabriel
1042,Barbosa,Barboza
1043,Domum,Quelle: Domum
1654,Paul Leonhard,Paul Leonhard
1045,Philipp Peter,
1046,Mehmet,Mehemet
1047,Anton Thaddäus,
1048,Wenzel Anton,Wenzl Antoni
1049,Melchior Dominicus,Melchar Dom.
1050,Heinrich Leonhard,Hainrich Leonhard
1051,Wolfgang Karl,Wolfgang Karl
1053,Jani,Jani
1054,Christoph Magnus,
1055,Anna Barbara,Anna Barbara
1667,Joseph Leonhard,
1057,Paul Gottfried,Paul  Gottfrid
1059,Walburga,"Waldburga, Balburga"
1720,Johann Con.,
1064,Niklas Daniel,Nicolas Daniel
1062,Monika,Monica
1063,Fortunat,Fortunat
1065,Johann Math.,Entweder Johann Matthias oder Johann Matthäus
1066,Gertraud,gerdraudt
1067,Franz Oswald,
1068,Salomon Isaak,Salomon Isaac
1069,Maria Josepha,Maria Josepha
1070,Georg Zacharias,
1071,Seifried Ferdinand,Seyfrid Ferdinand
1072,Viktor Maria,
1073,Ernst Heinrich,
1074,Niklas Joseph,
1075,Philipp Konrad,Phillipp Conrath
1076,Ferdinand Karl,
1077,Andre Georg,
1078,Burkhard,Burkhhard
1079,Lorenz Thomas,
1080,Franz Lorenz,Franz Lorenz
1081,Johann Cölestin,Johann Cellestin
1082,Johann Tobias,Joh: Tobiaß
1083,Anna Bernhardina,Anna Bernardina
1084,Johann Joseph Georg,
1085,Viktor Daniel,Victor Danieli
1086,Karl Daniel,
1087,Maria Christina,
1088,Ignaz Matthias,
1089,Sebastian Johann,
1090,Tobias Gotthard,Tobias Gotthardt
1091,Christ.,"Quelle: ""Christ:"". Entweder Christian oder Christoph. Beide Namen werden in der Quellen jedoch (häufig, immer?) synonym verwendet."
1092,Magnus Christoph,
1112,Rivardo,
1094,Chrysostomus,Chrisostomus
1095,Christoph Konrad,
1096,Georg Leonhard,
1100,Franz Virgilius,Franz Vigili
1101,Johann Raimund,
1102,Marx Ludwig,
1103,Wirich Philipp,Wierich Phillipp
1104,Joseph Wenzel,
1105,Ferdinand Anton,
1106,Franz Urban,
1118,Reichard Adam,
1119,Lothar,Quelle: Lotharius
1120,Friedrich Jakob,
1121,Christoph Joachim,
1115,Friedrich Peter,
1109,Johann Felix,
1111,Maximilian Gandolph,Maximilian Gandolph
1123,Franz Peter,
1124,Simhart,
1125,Sigismund,
1126,Hermangildus,Hermangildus
1127,Attanus,Attanus
1128,Eueseppe,
1129,Franz Rudolf,
1130,Lausitz,Lausiz
1131,Abendiam,Lesung unsicher
1132,Rudolf Heinrich,
1133,Emanuel Ludwig,
1134,Elias Wolfgang,
1135,Andreas Anton,
1136,Albrecht Ludwig,Albrecht Ludwüg
1137,Niklas Heinrich,Niclas Hainrich
1138,Anton Franz,
1139,Anton Bonaventura,Antoni Bonavent.
1140,Karl Seifried,
1141,Johann Ehrenfried,
1142,Klarin,Quelle: Glärin.
1143,Christian Gottlob,
1144,Mustafa,Mustapha
1145,Josue Jakob,
1146,Banajoc,Banajoc
1147,Agatha,Agatha
1148,Giuseppe Maria,
1149,Johann Urban,
1150,Paul Anton,
1151,Martin Peter,
1152,Johann Dubold,
1153,Albert Maria,
1154,Claudius Ludwig,
1155,Nikla,Nicla
1156,Christian Karl,
1157,Matthäus,Madheus
1158,Arnold,Arnolt
1159,Friedrich Christoph,Friderich Christoph
1680,Hostochi,Hostochi. Evtl. Nachname.
1161,Valerianus,
1162,Franz Alexius,
1163,Franath,Franath. Evtl. Familienname
1164,Joseph Thomas,
1165,Franz Heinrich,
1166,Eva Maria,
1167,Georg Marx,
1168,Konrad Balthasar,
1169,Sigmund Friedrich,
1170,Sigismund Franz,Sigißmundus Franciseus
1171,Michael Rudolf,Michel Ruedolph
1172,Osias,Osiaß
1173,Lienhard,Lienhardt
1174,Franz Albrecht,Franz Albrecht
1175,Johann Schweikhard,Hanß Schweickhart
1176,Jost,Jost
1177,Lorenz Ferdinand,Lorenz Ferdinandt
1178,Wolf Lukas,Wolf Lucaß
1179,Johann H.,Hannß H.
1180,Heinrich Sebastian,Hainrich Seb.
1181,Georg Ambrosius,Georg Abr. [könnte das nicht auch Georg Abraham sein? AS]
1182,Georg Abr.,"vermutlich Georg Ambrosius, da 1 Datensatz zuvor Ambrosius auch als Abr. abgekürzt wird (Quelle: 1652 Seite 112)"
1183,Jakob Johann Anton,Jacob Hanß Anthony
1184,Recolgian,
1185,Sig.,mehrere Möglichkeiten
1186,Karl Andre,Carl Andre
1187,Abr.,mehrere Möglichkeiten
1188,Zimbrecht,Zimbrecht
1189,Fernemon Peter,Fernemon Peeter - Lesung unsicher
1190,Sixtus,Sixt
1191,Gilly,Gilly - vermutlich alternive Form von Egidius
1192,Johann Baptist Peter,Johan Babtista Peeter
