nachnameId,nachname,nachname_quelle,nachname_bemerkungen
103,Brüll,"Brill, Briell, Priell, Prill, Prüll, Beill, Pröll",
104,Petto,Petto,
105,Dietsch,"Dietsch, Dütsch",
106,Sinzheim,"Sinzenheimb, Sinzheimb, Sünzheimb, Zinzhaimb, Sizhaimb, Sinzheimmer, Sinzhammer, Sensheimer",
107,Rugendas,"Rugenlos, Rugendos, Rugendros, Ruggenloß, Ruckenloß, Regenfues",Augsburger Künstlerfamilie
108,Danbeck,"Daunbekh, Danbeck, Danbeckh, Dampoickh, Danböckh",
109,Wißer,Wißer,
111,Jell,"Jell, Yehl",
112,Egger,"Egger, Ecker, Eckher, Ekher, Ekger, Eggerl",
113,Schiffer,"Schiffer, Schifer, Schüffer",
114,Prem,"Premb, Prem",
115,Rieder,"Rieder, Riederer, Rüeder, Riedterer, Rinderer",
116,Schwendinger,"Schwendinger, Gschwendinger, Schwendtinger",
117,Körger,"Körger, Kürger, Korger, Körgger, Körkher, Kürcher, Küerger, Küeger, Kurger, Kherkher",
118,Wolf,"Wolff, Walt [Verschreibung]",
119,Reymann,"Reyman, Reymon, Neyman [?], Reymandt",
120,Gössner,"Gössner, Gößner, Gösner, Goßner, Geßner",
121,Molzer,Molzer,
122,Kunzmann,"Kunzman, Kunsman",
124,Kern,"Kern, Kehrn, Gern, Khern",
125,Ottmann,"Ottmann, Ottman, Otmann, Ottmayr, Ottmar",
126,Kaufmann,"Kauffman, Kauzmann, Khaufman, Kunffman",
127,Wenkin,"Wenkhin, Wengin, Benkhin, Wenkhlin",
128,Debran,"Debran, Depran, Deban, Deparan",
129,Altvater,"Altvatter, Altvader, Altvetter, Altfatter, Altvotter, Altpoller",
130,Pachmayr,Pachmayr,
131,Aglassinger,Aglassinger,
132,Dellmor,"Dellmor, Delmor, Dilmor, Dellmayr, Dehlmeyer, Dessemor, Dillmor, Dillmann, Dillmayr",
133,Mezger,"Mezger, Meizger, Mezgerl, Mözger, Metzger, Meizner, Meitzger, Mozger",
134,Schacky,"Schäcky, Schäcki, Schacky, Schackhi, Schakhy, Schakhi, Schäkhi",
135,Nagl,"Nagl, Nogl, Nägl, Naggl",
136,Gruber,"Grueber, Gruefer, Grüeber",
137,Preuer,"Preuer, Preyer, Proyer",
139,Albrecht,"Albrecht, Alberth, Alberin, Albert",
140,Zernotter,Zernotter,
834,Schinerer,Schinerer,
143,Pfeffer,Pfeffer,
144,Rezer,"Rezer, Rözer, Rozer, Retzer, Rizer, Reger, Reizer",
146,Spitz,"Spüz, Spütz, Spizer",
147,Visconti,"Vissconti, Visscanti, Vihsconti
",
1354,Taffinger,"Tafinger, Dafinger, Taffinger",
148,Helvetius,"Helvetius, Helevetin, Helversius, Habachtus",
149,Weiss,"Weiss, Weis, Weüss, Wünss, Weisser",
150,Andre,"Andree, Andrae, Anthre, Andras, Andern, Andere, Andtern, Andreas",
