nachnameId,nachname,nachname_quelle,nachname_bemerkungen
1083,Rauschenbach,"Rauschenbach, Rausenbach",
1084,Ebenpeckin,"Ebenpökhin, Ebenbökhin, Ebenpekhin",
1085,Anglsperger,"Anglsperger, Anglspeuger, Anglspurger, Auglspurger",
1086,Rothpaur,"Rothpaur, Rothbaur",
1087,Pernwinkler,"Pernwinkher, Pernwinkhler, Brenwinkler",
1089,Taler,"Thaller, Taller",
1090,Galli,,
1091,Schlitter,"Schlitter, Schlitterer, Schlütter, Schlüter, Schliter",
1092,Ostermayr,"Ostermayr, Ostmayr",
1093,Ghezzi,"Ghezzi, Gezze, Gezzi, Ghezi, Gezi, Gezy",
1094,Goldrainer,Goldrainer,
1095,Mansrieder,"Manserieder, Monserieder, Mansrieder, Monserüeder, Mosrieder, Mansriether",
6631,Gerati,Gerati,
1098,Wilder,,
1099,Philippi,"Phillippi, v. Phillipi, v. Phillippi, Phelipki, Philephi",
1100,von Schallern,"v. Schallern, v Schallen",
1101,Givanelli,"Givanelli, Ivanel",
1103,Hechenblaickner,"Hechenblaickhner, Hechenblaichner, Hechenblikhner",
1104,Wörle,"Wörle, Werll",
1105,Bieler,"Biehler, Pieller",
1106,de Zimmermann,de Zimerman,
1107,von Partenfeld,v. Portenfeld,"Zu den Bartholotti von Partenfeld siehe: Hansdieter Körbl, Die Familie Bartholotti – Kaufleute, Beamte und Adelige. Eine Familiengeschichte aus dem frühneuzeitlichen Wien. Wiener Geschichtsblätter 68/4 (2013) 317–344."
1108,Dietschi,"Dietsche, Dietscha, Dietsch","Zur Version ""Dietschi"" siehe das Merkantilprotokoll"
1109,Strimbs,,
1110,Feitner,,
1111,Fleischer,,
1112,Rossmann,"Roßman, Rossman, Rosmann, Rosiman",
1113,Wattau,"Watton, Wattau",
1115,Spiller,"Spiller, Spüller, Spieller, Spill",
1116,Adam,,
1117,Dorßner,,
1118,Ederin,,
1119,Adamer,"Adam, Adamer, Adammer, Adaner",
1120,Helmayr,"Helmayr, Hölmayr, Hölmer, Helbmer, Helmer, Hellmer, Hellemayr, Hellermayr",
1121,Prunnenmayr,"Prunenmayr, Pronenmayr, Pranenmayr, Promenmayr, Prunmayr, Pronnenmeyr, Prunemayr, Prunnermayr",
1122,Staudinger,"Staudinger, Stautinger, Stauttinger, Studtinger",
1123,Reintaler,"Reinthaller, Reindaller, Rainthaller, Leythaller",
1124,Praitenfellner,"Praitenfehlner, Praidenfellner, Braidtenfehlner",
1125,Wisinger,"Wißinger, Wisinger, Wissinger, Wiessinger, Wüssinger",
1126,Plöderl,"Plöderl, Ploderl, Plederl, Plödl, Plötter",
1127,Ermannsdorfer,Ermanstorffer,
7701,Giovano,Giovano,
13536,Codone,"Codone, Godon",
6502,Wilzer,,
1131,Retalerin,"Rethallerin, Roththallerin",
1132,Bozzi,"Pozzo, Bozi, Bozzi, Borri",
1133,Mahler,Mahler,
1134,Hamel-Bruynincx,"Hamel Bruynicx, Hamel Brigninex",
1135,von Seldern,"v. Seldern, v. Seltern, v. Selderer",
1136,Greimold,"Greimold, Greymolt, Greimolt",
1137,Zwierer,,
1138,Brandegski,"Brantegski, Brondegskj, Brandegki, Braidezki",
1139,von Dalberg,"von Dolberg, von Thollenberg",
1140,Riesch,"Riesch, Rieschl, Risch, Ries, Resch",Siehe Resch.
1141,von Gutmann,v. Güthman,
1143,Steinberger,"Steinberger, Stainberger",
1144,Poplitz,Popliz,
1146,von Münchhausen,"v. Minichhausen, v. Minichshaussen",
1147,Eckmayrin,"Ekhmayrin, Etmayrin",
1148,Höllingerin,"Hollingerin, Höllingerin, Haullingerin, Haulingerin, Hallingerin, Heillingerin, Hayllingerin, Heyllinger, Haulingerin, Hayllingerin",
1149,Kampmüller,"Kampmillner, Campmillner, Kampmühlner, Kompmiller, Kampmüllner, Kaimpmihlner, Kapmillner, Kampmüller",
1150,Gmainer,Gmainer,
1151,Rauth,"Rauth, Rautt",
1152,Hauzenberger,"Hautzenberger, Haunßperger",
1153,de Purkard,,
1154,Langprandner,"Langprandner, Langprander, Langbrandner, Langprandtner, Langprantner, Langpander, Langbrandtner, Langbrand",
1155,Schieghofer,"Scheighofer, Schieghofer, Schieckhofer, Schierghofer, Schieghofer, Schilghofer, Schueghoffer, Schüerkhoffer, Schüerghoffer, Schörghofer, Schieckhhoffer, Schierkhofer, Schierkhoffer, Schüerkofer",
1156,Mösner,"Mösner, Mößner, Mössner, Mösser, Moßer, Mößer",
1157,Wörndlin,"Würndlin, Wörndlin, Wierdlin, Windlin, Wördlin",
1158,Oberpaur,Oberpaur,
1159,Renger,"Renger, Rengner, Regner, Reuger, Rennger, Senger",
1160,Gaußrab,"Gaußrob, Gaußrab, Gaustrapp, Daustroth, Gausramb",
1161,von Stolpe,v. Stolpe,
1162,Paret,"Paret, de Parret",
1164,Agossino,Agossino,
1165,von Pozzo,"v. Bozi, Bozi, Pozzo",
1166,Pansta,,
1167,Spinola,"Spinola, Spinala, Sperola",
1168,Fratino,"Fratino, Frattin",
1169,Vincani,"Vincani, Viviani",
13247,von Piberer,von Piberer,
1171,Ducerini,"Ducerini, Duccessini, Ducersin",
11576,Roiserin,Roiserin,
1174,Torri,"Torri, Tori",
1175,Zehetner,"Zehetner, Zehentner, Zechetner, Zehenter, Zechneter",
1176,Auchter,,
1177,Auer,"Auer, Auger",
1178,Geyer,"Geyer, Geyr",
1179,Peck,"Bekh, Peck, Pekh, Bökh, Pökh, Pekher, Beck, Spökh, Böckh, Pöckh, Pökhl",
6697,Kuzer,Kuzer,
1181,Zinhobl,"Zinhobl, Zinhopl, Zihnhobl, Zihnhobel, Zihnhopl, Zinnhopbl, Zinhoel",
1183,Lämmerhirt,"Lämerhiert, Lämerhierth",
1184,Einig,"Einig, Einegg, Einch",
1186,Consoni,"Consoni, Consonin (weibl. Form)",
1187,Engelhard,"Englhard, Englhart",
1188,Knechtsberger,"Knechtsberger, Knechtberger",
1190,Berghammer,"Perckamer, Berkamer, Berkammer, Perkhamer, Perkhammer, Perckamer, Berckamer, Berkhamer, Berkhamer, Perghamer, Perghammer, Perckhhamber, Prockhhamber",
1191,Greipl,"Greipl, Greupl, Greüpl, Greipp",
1192,Nusshard,"Nusshard, Nushard, Nushardt",
1193,Zinecker,"Zinecker, Zinökher, Zinäkher, Zihnekher, Zineckher, Züneckher, Zinegger",
1194,Zöchpaur,"Zöchpaur, Zochpaur, Zächbaur, Zechbaur",
1195,Puchinger,"Puechinger, Buechinger",
1196,Enzinger,,
1197,Äzlberger,"Äzlberger, Äzesberger, Azesberger, Ayesberger, Azperger, Ayzeßperger",Siehe Ozlberger
1200,Buch,"Buech, Puech",
1201,Peylmann,Peylman,
1202,Rothhuber,Rothhueber,
1203,Dauner,"Dauner, Daumer [?], Tauner",
1204,von Löwen,"von Löwen, von Löben, von Lewen, v: Löben",
1205,Wettel,,
1206,Krumhaar,"Krumphaar, Krumbhaar",
1207,Jonathan,,
1208,Öttinger,"Öttinger, Ottinger",
1209,Schalk,"Schalkh, Schalckh, Schalck, Scholkh",
1211,Glas,"Glas, Gles, Gläs, Gläsl, Gläß, Gläst",
1212,Kofler,"Kofler, Koffler, Köffler, Khoffer, Kopfler, Kösler",
1213,Lämpl,"Lämpl, Lampl",
1214,Gresbeck,"Grespökh, Gresbeck, Greßpöch, Greschpökh, Grespech, Gressbekh",
1215,Sölzer,,
1216,Ehrngruber,"Ehrngrueber, Egengrueber, Erngrueber",
1217,Kneidinger,"Kneidinger, Kneydinger, Knedinger",
1219,Plank,"Plankh, Planckh, Plenkh, Blankh",
1220,Mussi,"Mussi, Massi, Musso, Mussy, Musto, Masso",
1221,Bolza,"Bolsa, Bolssa, Polssa, Polza, Bolza, Bolssa, Palza, Bossa, Wolza, Baza, Balssa, Bolhsa",
1222,Schwerling,"Schwerling, Schwering",
1223,Steinhart,"Steinhart, Stainhardt",
1224,Luidl,"Luidl, Lüdl, Ludl",
1225,Hanke,"Hantke, Hanthe, Huntke, Hankh, Hankhe, Hanke, Haukh, Harth, Hart, Hainke, Hackhe, Henckhe",
1226,Kirchbauer,"Kürchpaur, Kürchenpaur, Kürschenbaur, Kirchbaur, Kierchbaur, Kiechpaur",
1227,Scheck,"Schekh, Schett, Sekh",
1228,von Zeil,"v. Zeyll, v. Zeiller, von Zeill",
1229,Mayringer,"Mayringer, Mayrniger, Möringer, Meyring, Mayinger, Maringer, Mairinger, Märinger",
1230,Uhrl,"Uhrl, Vhrll, Viehrll",
1231,Hauzeneder,"Hauzeneder, Hautzeneder",
1232,Pessler,"Pessler, Pesler, Pessl, Pesl, Peßl, Pesel",Siehe auch Pessl!
1233,Wallnbeck,"Weillenbekh, Weilnpekh, Weilnpeck, Wählmbeck, Walmbökh, Weilnpokh, Walmpökh, Wallmbökh, Wahlmbeckh, Wallnpekh, Walnpäckh, Walbmpökh, Weillenpöckh, Weilnbeck",
1234,Stölzl,"Stölzl, Stelzl, Stölzler",
1235,Wögerpaur,"Wögerbaur, Wögepaur, Weegepaur, Wegerpaur",
1236,Fixlmillner,"Fixlmillner, Fixlmüllner",
1237,Zeller,"Zeller, Zellner",
1238,Ackertinger,"Ackhertinger, Äckhertinger, Äckherdinger, Äckerdinger, Äckertinger, Ackerdinger",
8327,Schönthron,"Schönthron, Schöttron",
1240,Holzapfel,Holzapfl,
1241,Wandaller,"Wandaller, Wandenthaller",
1242,Gleich,,
1243,Kannengießer,"Kanengiesser, Konengiesser, Kennengiesser, Kangiesser",
1244,Stiermb,Stuermb,
1246,Kölbling,,
1247,Pruckmayr,"Pruckmayr, Pruckner, Pruckhmayr",
1249,Krenmayr,"Krenmayr, Kremair, Kremayr, Kramayr, Krember [gilt nur für Simon Kremayer/Krenmayer!]",
1590,Kreilmayr,"Krymayr, Kreilmayr, Greilmayr, Kreumayr",
1251,Kurl,,
1252,Streibl,"Streibl, Steibl, Stribl, Streübl",
1253,Stadlinger,"Stadlinger, Stahlinger, Stodlinger, Starlinger",
1254,Piechmayr,"Piechmayr, Pießmair",
1256,Kreuß,"Kreus, Kreuß, Kreyß, Creus, Krauss, Kreyss, Kreis",Familienname aus Hallein und Regensburger Region
1257,Haslbeck,"Haßlbekh, Haßlpöck, Haslpeck, Häßlpeckh, Haßlbökh, Hasenpökh",
6448,Mösnerin,Mößnerin,
1259,von Summerau,"v. Sumerau, v. Somerau, Vogt v. alt Sommerau",Korrekt: Vogt von Summerau auf Altensummerau
1260,Helmreich,"Helmbreich, Helnreich",
1262,Wagenseil,Wagenseill,
1263,Sindersberger,"Sindersberger, Sündersberger, Sinderberger",
1264,Fichtl,"Fichtl, Veichtl, Vichtl, Fächtl, Viethl, Viechtl",
1265,Danberger,"Danberger, Damberger",
1266,von Althan,"v. Althaimb, v. Althaim, v. Althamb, Althaimb",
1267,Schwanesini,"Schwanesini, Schwanasini, Schvanessini, Schwanesin, Bonessini",
1268,Praeo,Praeo,Lesung unsicher
1270,Hilmayr,"Hilmayr, Holmayr",
1272,Käser,"Käser, Käserer, Kaser, Käster, Kaiser, Karüser [?], Kayser",
1273,Pittl,"Pittl, Pithl",
1274,Eckenrieder,"Ekhenrieder, Eggenrieder, Egenrieder",
1275,Fütterin,Füetterin,
1276,Höglmayr,"Höglmayr, Häglmayr, Haglmayr",
1277,Wernberger,,
1278,Plaikner,"Plaikhner, Pleigner",
1279,Danzer,Danzer,
1281,Geißlhammer,"Geißlhamer, Gastlhammer, Gayslhammer, Geislhamer",
1282,Unertl,Unertl,
1283,Prauer,"Praauer, Prauer",
1285,Wachter,"Wachter, Wachtler",
1286,Werti,"Werti, Wertin (weibl. Form), Werthißer [?, evtl. Verschreibung für ""Werti seel. wittib""], Werthy",
1287,Sämb,,
1288,von Galen,"v. Galn, v. Gahlen, v. Gallen, v. Galne",
1290,Contoni,"Contoni, Condani",
1291,Wider,"Wider, Widerer, Wieder, Wüder",
1292,Conti,"Comti, Conti",
3799,von Pillati,v. Pillati,
1294,Ereas,,
1295,Jaccoud,,
9087,Gunstberger,"Gunstberger, Gunsberger, Gunßberger",
1298,Pehr,"Pehr, Peher, Pöhr",
1299,Wohl,Wohl,
1300,Sturm,"Sturmb, Stüermb, Strubm, Stuermb",
1301,Leidl,"Leidl, Leindl, Laithl, Laindl, Laidl, Lendl, Leithl, Loidl, Leythl",
1302,Pfädl,"Pfädl, Pförl",
1303,Stockinger,"Stokhinger, Stockhinger",
1304,Pichol,,
1306,von Pinos,"v. Pinos, de Pinos, Comte de Pinos, v. Pinoi",
1307,Maltin,,
1308,Prandhuber,"Prandhueber, Prandthueber",
1309,von Deyerlsberg,"von Dyrlsperg, von Deylsperg, v. Teyrlsperg, v. Dyrsperg, v. Deyrlsperg, v. Deirsperg, v. Deinelsperg, v. Demielsperg, von Deyelsperg",
9942,Saluci,"Saluci, Salucit",
9943,Pebstmann,Pebstman,
1310,von Gartner,v. Gartner,
1311,Iser,,
1312,Schenreither,"Schenreider, Schenreuther",
1313,Orsini,orsini,
1314,Pittermann,"Pitterman, Bitterman, Pidermann, Piderman, Pietterman, Püttermann",ident mit Bidermann
1315,von Dietrichstein,"v. Dietrichstain, Tiettrichstain, von Tietterichstain",
1316,Wilseder,Wilseder,
1317,von Liechtenstein,"v. Liechtenstain, v. Liechten",
1319,Lucatelli,"Locodelli, Lucatelli",
1320,Bahn,"Bahn, Bankh, Bahr, Pahnn",
1321,von Sittmann,"v. Sittman, von Sitman, v Sittmon",
1322,von Blumenthal,von Blumenthall,
1323,Wilnauer,,
1324,Gunderla,Gunderla,Lesung unsicher: Obrist Jägermaister zu Yhnsprugg
1325,Praunegger,"Praunegger, Praunöckher",
1326,von Lackowitz,"v. Lackowiz, v. Lockowiz",= Lobkowitz?
1328,von Schmagau,v. Schmagau,
1329,Schick,"Schikh, Schükh, Schieck, Schieckh, Schückh, Schäkh, Schukh, Scheckh, Schökh, Sukh",
1330,Guttenberger,"Guettenberger, Gueterberger, Gudenberger",
1331,von Waldstätten,"v. Waldtstötten, v. Walstätten",
1332,von Arnoldstein,v. Arnoldstain,
1333,Pracht,,
1334,Dorn,,
1335,Taubert,,
1336,Cords,"Cords, Cord",
1339,Kellner,"Köllner, Kellner, Khelner, Khellner",
1340,Gschaider,"Gschaider, Schaider, Scheider, Gehandter",
1342,Felbinger,Felbinger,
1343,Hörzingstätter,"Herzingstatter, Hörzingstatter, Härzingstaller, Hierzigstatter",
1344,Rulandt,"Rulandt, Rueland, Ruelandt",
1345,Strecker,"Strecker, Strücker, Streckher, Stricker, Strikher, Striker, Strickher",
1346,Leyer,,
1347,von Gutrath,v. Guetrath,
1348,Schweland,"Schweland, Schwelandt, Schwehland, Schwellandt",
1349,Petersen,"Petersen, Petersenn, Petersee, Peter",
1350,Stampfer,"Stampfer, Stempferl",
1351,Prock,"Prokh, Prockh, Prackh, Brockh",
1355,Mayrin,Mayrin,
1356,Windsteiger,"Windsteiger, Windtsteiger, Landtsteiger [Verschreibung], Wintsteüger",
1357,Tosquez,Tossquez,
1358,Maria,,
1359,Hiert,"Hierd, Hirth, Hierth, Hierdt, Hüerth, Hierz, Hörth",
1360,Fleischmann,,
1361,Weigl,"Weigl, Weigelt, Weügl, Weükhl, Weickhl",
1363,von Pertl,,
1365,Berlin,"Berlin, Perlin, Berle",
1366,Eugelin,"Eugelin, Euegelin, Engelin, Eugeling, Engeling, Eggelin",Evgl. Fingerlin [?]
1367,Immersberger,"Immersperger, Imersberger, Wimbersperger, Wimersperger",
1368,Reck,"Rekh, Röckh, Reekh",
1369,von Gallenberg,"v. Gallenberg, Gallenberg, Golnberg",
1370,Schreiner,,
1372,Fritz,"Früz, Friz, Fritz, Frütz, Friex",
1373,Schultes,"Schultes, Schuldes, Schultheiss, Schuldheis, Schuldtheis, Schuldheus, Schuldheuss, Schultheüss, Schultus, Schultheis",
1374,Pruckner,"Pruckner, Pruggner",
1375,Röder,"Röder, Rötter, Röderer, Rödterer, Räder, Reder, Rader, Rädter, Rädler, Rathler, Rieder","Siehe auch ""Rädler"", ""Rieder""."
1377,Gläzl,"Gläzl, Klözl",
1378,Pernauer,,
1379,Bürcher,"Bürcher, Pürcher, Bircher, Pürchner, Büher",
1381,von Kaiserstein,Kaißerstain,
1382,Flieger,,
1383,Hämmerl,"Hamerl, Hämerl, Ämerl, Hämberl, Haimerl, Hamber, Hammerl, Heimerl",
1384,Schoiber,"Schoiber, Schoyber",
1385,Hötl,"Hötl, Hödtel, Höttl, Hödtl, Höldl, Hetl, Hedl, Hödl, Höldtl",
1386,Hetzer,"Hezer, Hetzer",
1387,Dimpe,,
1388,Geißerin,"Geiserin, Geißerin, Geißnerin",
1389,Felsecker,"Felstecker, Felsecker, Feldekher, Felserker, Feldegger",U.a. Nürnberger Buchdrucker- und Verlegerfamilie
1390,Greiff,"Greiff, Greüf",
1391,Aschenberger,,
1392,Schwabinger,"Schwaibinger, Schwäbinger, Schwabinger, Schaibinger",
1393,Triebswetter,"Triebswetter, Trüebßwette, Trüebswetter, Trüebswötter, Driebswetter, Driesweder, Thriebßwetter",
1394,von Thun,"Thun, v. Thun",
1395,Killeseder,"Killeseder, Kielseder, Kinigseder",
1396,Dentl,,
1397,Riner,,
1398,Kaltenbrunner,"Kaltenpruner, Kaltenpaur [!], Kaltpruner",
1399,Hummel,"Humel, Humbel",
1400,Schäffler,,
1401,de Frid,,
1402,Fiedler,"Fidler, Fiedler, Fitler",
1403,Aschauer,,
1404,Staffenberger,"Stäffenberger, Stäpffenberger, Staffenberger, Stapfenberger, Staiffenberger, Stattenberger",
1405,Effingerin,"Effingerin, Esingerin",
1407,Streck,"Strekh, Streck, Streckh, Strecker, Strücker, Streckher, Stricker, Strikher, Striker",
1408,Walker,"Walkher, Walckher, Walkh",
1409,Rois,"Rois, Roiss, Royss, Roys",
1410,Schrögle,"Schrögele, Schregele, Schregle",
1411,Styrum,"Styrumb, Stierumb",
1412,Pramer,Pramer,
8979,Haseldorf,Haseldorff,
14275,Stelli,Stelli,
1419,Weinzierl,"Weinziehrl, Weinziergl, Weinzorl",
1459,Dimbler,"Dimbler, Dümbler, Diembler, Dämbler, Dimler, Timbler, Dinnler",
1423,Witsch,"Witsch, Wintsch, Wütsch, Wötsch",
1461,Reiff,"Reiff, Reiffe, Reif, Greiff, Seiff",
1460,Wittich,"Wittich, Wüttich, Wuttich, Widich",
1428,Schickmayr,"Schikhmayr, Schükhmayr",
1429,Höser,Höser,
1430,Bächlein,,
1431,von Fürstenberg,Fürstenberg,
1432,Weillner,,
1434,Schreyer,"Schreyer, Schweyer, Schreuer, Schreier",
1436,Schöbl,"Schöbl, Schäbl, Schöpl",
1437,Gasperger,,
1438,Stark,"Starkh, Starckh, Storckh, Storch, Strockh, Streckh, Strekh",
1439,Dolberg,,
1442,Gamberth,Gambeeth?,
7033,Herber,,
1444,Räffl,,
1445,Hagl,"Hagl, Hoppel",
1446,Castangno,siehe Castangnola,
1447,Paula,"Paülla, Paussa",
1448,Schlögl,"Schlögl, Schlegl",
1449,Degeler,"Degeler, Degler",
1451,Panriz,"Panriz, Panräz/Ponräz/Panröz/Ponröz, Pahnriz, Panritz, Panrietz, Anriz, Poneitz",
1452,Schloderer,,
1453,Segola,"Segola, Segala, Segalla, Segula",
1454,Peternader,"Peternader, Petternader, Pettenader, Pettermader, Petermader",
1455,von Trautson,"v. Trautsohn, Trautsohn, Trautson, v. Trautsamb, von Traudtsamb",
1456,Ammer,"Ammer, Amer, Anger, Amber",
1462,Seyringer,"Seyring, Seyringer",
1464,Schweighofer,"Schweighofer, Schwaighofer, Schwäighofer, Schwaykhofer, Schweifhoffer",
1466,Goldschmid,"Goldschmid, Goltschmid",
1467,Röhrl,,
1468,Kramer,"Kramer, Krammer, Cramer, Crammer, Grabmer, Gramber, Gramer, Crammerey",
1469,Dopido,"Dopido, Doppido, Dappite",
1470,Schall,Schall,
1473,Kell,"Kell, Kehl",
1474,Doller,"Doller, Daller [?]",
1475,Schidriz,,
1476,Cheret,"Cheret, Cherert",
1478,Pierdimpfl,"Pierdimpfl, Berdimpfl",
1479,Sifereiner,"Siferreiner, Sifreiner, Siberreinner, Siferlinger","Die Liegenschaft ""Siefereiner"" befindet sich direkt an der Donau in OÖ: https://mapire.eu/en/map/cadastral/?bbox=1550247.9490427175%2C6176254.33889318%2C1551155.0415893206%2C6176552.921034918&layers=3"
1480,Praunauer,Praunauer,
1481,Gähr,,
1482,Jenisch,"Jenisch, Jemisch, Jenischer",
1483,Fronhofer,,
1484,Thanner,"Thanner, Donner, Thauer, Daner, Danner",
1485,von Bayern,in Bayrn,
1486,von Ostein,von Ostein,
1487,Sixtmayr,,
1489,Hacker,"Hacker, Häcker, Haicker, Hokher",
1490,Patscheider,,
1491,Staudenhechtl,"Staudenhechtl, Staudenhöchtl, Stautenhechtl, Staudenhächtl, Staunhechtl, Staunhöchtl",
1492,Mitterreither,"Mitterreither, Mütterreither",
1493,Oberlechner,"Oberlechner, Oberlehner",
1494,Prinz,"Prinz, Brinz",
1495,Riener,"Riener, Rienner, Riehnner",
1496,Perndl,"Perndl, Berndl, Berntl",
1497,de Boeligo,de Boeligo,
1498,Sebald,"Sebald, Seebald, Seewalth, Sebalth, Seebalth, Sebold, Seeboldt",
7203,Heischman,,
7204,Dener,,
1500,Blum,"Blum, Plum, Bluom, Bluem, Pluemb",
1501,von Kuenburg,v. Kienburg,vermutlich von Kuenburg (Indiz: jeweils aus der Region Salzburg kommende Schiffe)
1502,Krävogl,"Kräuogl, Krauogl",
1503,Zängl,Zängl,
1504,Gerff,,
1505,Emegg,,Lesung unsicher
1506,von Stein,"v. Stein, Stain, v. Stain",
1507,Fischinger,Fischinger,
1508,Pitterleitner,"Pitterleithner, Pittleithner, Püttleithner, Piterleithner",
1510,Abandio,"Abandio, Alandie, Obundio, Albanto",
1511,Erbler,Erbler,
1512,Knoll,"Knoll, Koll, Khnoll, Knol",
1513,Veit,"Veith, Voith, Veit, Vieth",
1514,von Schnurbein,"v. Schnurpain, v. Schnurbein, v. Schnurben, v. Schnuerbey, Schnurbein, Schnurpain, Schnurben, v. Schnuerlin, v. Schnuebn, Schnurpaum",
4782,Heinzlmann,"Heinzlman, Hainzlman",
2016,Schildmayr,"Schildmayr, Schudellmayr, Schiltmayr, Schuldtmayr",
1518,Waldmillner,"Waldmillner, Waltmillner, Waldtmüllner, Waltmüllner, Waltmilner",
1520,Scherburger,Scherburger,
1521,Scharf,"Scharpff, Scharff, Scharpf, Scharef, Schorff, Scherff, Schorpff",
1523,Gestner,"Gestner, Geßner, Gessner",
1524,Loris,,
1525,Sfert,"Sfert, Spert [?].",
1526,Dupolt,"Dupolt, Dupol, Dupall, Dupal, Duplo",
1527,Kienlein,,
1528,Eckl,"Eckl, Egel, Ekhl, Egl, Eggl, Eggel",
1529,Dibold,"Dibold, Dybold, Diboll, Dübold, Dipoll, Diwold, Diepolt, Düepold, Diwaldt",
1530,von Sprinzenstein,"v. Sprinzenstain, Sprinzentain, von Prinzenstain",
6464,Rohr,"Rohr, Rahr, Rohrer",
1532,von Braunschweig-Wolfenbüttel,"v. Wolfenbitl, v. Wolfenbittl",
1534,Ruck,"Rukh, Ruckh, Ruekh, Rokh",
1535,von Sachsen-Meiningen,v. Sachsen-Mainingen,
1536,Ambrosi,"Ambrossi, Ambros",
1537,Haslperger,"Hasslperger, Haßlperger, Haslperger",
1538,Ringler,"Ringler, Rengler",
1539,Diethaidinger,"Diethaidinger, Diethordtinger",
1541,Stork,"Storkh, Storckh
",Siehe auch Storch
1542,Butterna,"Wutterna, Butterna, Putterna",
1543,von Salm,"v. Salmb, v. Sällm",
1544,Wurzer,,
1545,Busch,,
1546,von Callenberg,"v. Culenberg, de Colnberg/de Calnberg",
1547,Lothringer,"Lotheringer, Lotringer",
1548,Seyrl,"Seyrl, Seurl, Seinl, Sayel, Sazel",
6474,Mayzin,Mayzin,Lesung unsicher: Magzin [?]. Möglicherweise ident mit Mazini [?].
1550,de Villafranca,de Villafranchzza,
1551,Höller,"Höller, Holler, Hiller, Öhler",
1552,von Ferran,v. Ferran,
1554,Poblo,"Poblo, Pablo",
1555,von Blank,v. Blankhen,
1556,von Montesanto,v. Montesanto,
1557,Serling,"Serling, Seeling",
1559,Liebeskind,,
1560,von Hardegg,"v. Hardeckh, v. Hartegg, v. Hardekh",
1561,Schalkhammer,"Schalckhamer, Schalckammer, Schalhamer, Schackhamber, Schallhamber, v. Schalkhamer","Franz Schalkhamer (Franciscus Martin Schallhamer) ist Verwalter der Messingniederlage in Salzburg (Dompfarre, Taufmatrikel)"
1563,Krüner,"Krüner, Krener, Kriner, Krünger, Grüner, Känner",
1564,Körchel,,
1565,Muhr,"Muhr, Muer, Mohr, Mühr",
1566,Schlagnitweit,"Schlagnitweith, Schlahetweith, Schlagitweith, Schlachetweidt, Schloichetweith, Schlachtweidt, Schlogitweith, Schlachetweith, Schlöchetweith",
14234,Michschell,Michschell,
1568,Eistacher,"Eistacher, Ehstecher",
1569,Strasser,"Strasser, Strosser, Strazer",
1570,Payrshofer,"Payrshoffer, Payrishofer, Bayrishofer, Bayrshoffers",
13116,Mayberger,Mayberger,
1572,Friewürth,"Friewürth, Friewierth",
1573,Wadersdorfer,"Waderstorffer, Watterstorffer, Wodterstorffer, Wadterstorffer, Wadtstorffer",
1574,Härl,"Härl, Hörl, Herl, Harl",
1576,Sahm,"Samb, Sohm, Sähm",
1577,Reuter,"Reuther, Reither, Reider, Reidter, Reütter, Reiter, Rautter",
1578,Schücher,Schüecher,
1579,von Kollonitsch,"v. Kolloniz, Coloniz, v. Kollonitz, von Colonitsch",
1580,Loser,"Loser, Loster","Lesung unsicher: ""Bfer"" [?]."
1582,Empl,,
6588,Schachner,,
6589,Mildorfer,"Mildorffer, Mülldorffer",
1584,Hofinger,,
1585,Beckenhofer,"Beckenhofer, Peckenhofer, Bettenhofer, Pokhenhofer",
1586,Zeiser,,
1587,Künhammer,"Künhamer, Khinhamber",
4748,Sartori,"Sartori, Sorton",
7137,Billing,Billing,
1592,Gollinger,Gollinger,
1593,Odor,"Oddor, Odor, Oddox",
1594,Schröder,"Schreder, Scherder, Schröder, Schrötter, Schroder, Schretter, Schreider",
1595,Garnier,"Garnir, Ganier, Carniee",
1596,Golinzer,,
1597,Steinlechner,"Stainlechner, Stainlehner, Stainlerher",
4701,Stinglmayr,"Stinglmayr, Stiglmayr",
8980,Kienberger,"Kienberger, Kenperger, Kienperger",
1600,von Schmidlin,"von Schmidlin, von Schmidling",
1601,Tiefentaler,"Tieffenthaller, Dieffenthaler",
1602,Igl,,
1603,Piatin,"Piatin, Piantin",
1604,von Wucherer,v. Wucherer,
1605,Bergin,"Bergin, Bergini, Pergin [?]",
1606,Lanfelder,,
1607,Peyerl,"Peyrl, Peyerl, Peurl",
1608,von Sachsen-Zeitz,V. Sachsen Zeiz,
1611,Gundianin,Gundianin,
1612,von Windisch-Graetz,"v. Windischgräzen, von Windisch Gräz",
1615,Samuelli,"Samuelli, Samvelli, Samoelli, Samnelli, Samuel, Samelli",
9085,Prienler,Prienler,
1617,de Haseldorf,"de Haslsdorst, Haselstorff",
1618,de Viscani,"de Visscani, de Vescani",
1620,von Schönborn,"v. Schönborn, von Schönpohrn, v. Schenborn",
1621,Peinagl,"Peinagl, Peynagl",
12182,Vettmer,Vettmer,
1623,Donner,"Danner, Doner, Donner, Thonner, Dormer",
1624,Schafferin,,
2560,de Prie,,
1626,Wollner,,
1628,Popp,"Popp, Papp",
1629,Erhard,"Erhard, Ehrhard, Ehrhardt",
1630,Feith,,
1631,de Penna,"de penna (unklar), de Bena, de Pena",
1632,Weidinger,"Weidinger, Meydinger, Weydinger, Weydtinger, Weittinger",
1633,Härtl,"Hartle, Hartl, Härtl, Hertl, Härtli, Hiertl, Härdl",
