fahrzeugId,personenId,herkunft,region,maut_fl,maut_s,maut_d,fahrtrichtungId
73105,34178,59,2,,,6,2
73106,6455,16,41,,1,18,2
73107,10879,16,41,,1,18,2
73108,633,11,122,,,16,2
73109,4572,13,38,,,16,2
73110,32333,11,122,,,16,2
73111,13986,26,6,,,6,2
73112,19120,134,34,,,16,2
73113,88,3,6,,,16,2
73114,2165,15,3,,,16,2
73115,406,13,38,,,16,2
73116,1583,57,2,,1,18,2
73117,2030,196,6,,,16,1
73118,18481,142,2,,1,18,2
73119,4954,127,2,,,6,2
73120,326,4,6,,,6,2
73121,204,10,38,,,6,2
73122,3870,15,3,,,16,2
73123,806,9,5,,,16,2
73124,2171,95,6,,,16,2
73125,1449,11,122,,,16,2
73126,558,225,6,,,16,1
73127,34652,95,6,,2,12,2
73128,640,225,6,,,18,2
73129,4252,180,2,,,16,1
73130,6085,203,41,,1,18,2
73131,222,5,6,,,16,2
73132,2623,28,6,,,16,1
73133,2478,30,34,,,16,2
73134,3381,95,6,,,16,1
73135,726,24,2,,3,6,2
73136,6179,129,2,,,16,2
73137,13934,514,43,,,22,2
73138,1284,26,6,,,16,2
73139,204,10,38,,,22,1
73140,1792,51,2,,,16,2
73141,934,26,6,,,16,2
73142,21232,10,38,,,16,1
73143,24769,11,122,,,16,2
73144,2864,7,2,,,16,2
73145,177,10,38,,,16,2
73146,364,28,6,,,22,2
73147,4133,304,2,,6,12,2
73148,9048,60,2,,1,18,2
73149,1576,62,148,,,24,2
73150,2623,28,6,,,16,2
73151,2880,21,34,,1,2,2
73152,3629,30,34,,,16,2
73153,179,11,122,,1,2,1
73154,222,5,6,,,16,2
73155,1162,131,6,,2,12,2
73156,2182,66,6,,,16,2
73157,22863,10,38,,,16,2
73158,210,10,38,,,16,2
73159,19120,134,34,,1,18,2
73160,207,10,38,,,16,2
73161,34663,27,1,,,16,1
73162,22863,10,38,,,16,2
73163,31234,27,1,,1,2,2
73164,1444,16,41,,,24,2
73165,827,17,6,,1,2,1
73166,3989,49,2,,,16,2
73167,204,10,38,,,16,2
73168,13986,26,6,,,6,2
73169,1009,9,5,,,16,2
73170,506,11,122,,,16,2
73171,1231,5,6,,,6,2
73172,5335,13,38,,,16,2
73173,6537,59,2,,,16,2
73174,31010,42,34,,,16,2
73175,210,10,38,,,16,2
73176,222,5,6,,,6,2
73177,11517,792,45,,4,,2
73178,6700,26,6,,,16,2
73179,17856,27,1,,,16,1
73180,210,10,38,,,16,2
73181,1484,61,2,,3,6,2
73182,30334,17,6,,1,18,2
73183,185,66,6,,,16,1
73184,341,8,5,,,16,2
73185,88,3,6,,,16,2
73186,508,85,6,,,16,2
73187,20601,4,6,,,6,2
73188,13951,9,5,,,16,2
73189,1190,10,38,,1,2,1
73190,171,5,6,,,6,2
73191,3629,30,34,,,16,2
73192,810,11,122,,,16,2
73193,2692,9,5,,,16,2
73194,1449,11,122,,1,2,1
73195,1457,9,5,,1,2,2
73196,7988,15,3,,,16,2
73197,522,30,34,,,16,2
73198,2089,21,34,,,16,2
73199,2728,98,2,,1,18,2
73200,34704,114,42,,3,6,2
73201,2131,9,5,,,16,2
73202,34705,97,2,,,24,2
73203,1475,66,6,,,16,2
73204,34706,26,6,,,16,1
73205,1284,26,6,,,22,1
73206,558,225,6,,,6,2
73207,209,10,38,,,16,2
73208,1190,10,38,,,16,1
73209,2161,204,6,,,16,2
73210,31989,16,41,,1,18,2
73211,14701,225,6,,,16,2
73212,324,10,38,,,6,2
73213,185,66,6,,1,2,2
73214,602,35,6,,,16,2
73215,207,10,38,,,16,2
73216,210,10,38,,,16,2
73217,784,14,6,,,18,2
73218,4189,29,6,,,6,2
73219,21197,13,38,,,16,2
73220,222,5,6,,,16,2
73221,17085,11,122,,,16,2
73222,34711,225,6,,,6,2
73223,1006,24,2,,1,18,2
73224,18415,26,6,,1,2,1
73225,1696,30,34,,,16,2
73226,2696,24,2,,1,6,2
73227,2623,28,6,,,16,2
73228,2437,96,6,,3,6,2
73229,34714,60,2,,1,18,2
73230,204,10,38,,,16,2
73231,1349,30,34,,,16,2
73232,34716,126,38,,,16,2
73233,209,10,38,,,6,2
73234,207,10,38,,,16,1
73235,406,13,38,,,16,1
73236,185,66,6,,,16,2
73237,1162,131,6,,1,2,2
73238,328,5,6,,,6,2
73239,220,21,34,,,16,2
73240,2160,13,38,,1,2,1
73241,210,10,38,,,16,2
73242,5039,75,6,,,6,2
73243,7036,30,34,,,16,2
73244,29194,196,6,,,16,1
73245,5258,174,6,,1,18,2
73246,17543,49,2,,,16,2
73247,8688,8,5,,,6,2
73248,207,10,38,,,16,2
73249,9098,10,38,,,16,2
73250,21232,10,38,,,16,1
73251,1349,30,34,,,16,2
73252,185,66,6,,,16,2
73253,738,7,2,,1,18,2
73254,1843,16,41,,3,6,2
73255,2964,98,2,,3,6,2
73256,1110,4,6,,,6,1
73257,18098,204,6,,,22,2
73258,4112,301,2,,4,24,2
73259,3123,125,2,,3,6,2
73260,11818,125,2,,1,18,2
73261,2039,16,41,,3,6,2
73262,2623,28,6,,1,2,1
73263,4234,60,2,,1,18,2
73264,2049,9,5,,,16,2
73265,4009,66,6,,,16,1
73266,213,32,2,,1,18,2
73267,1346,27,1,,,16,2
73268,210,10,38,,,16,2
73269,2396,26,6,,,16,2
73270,177,10,38,,,16,2
73271,34722,620,2,,1,18,2
73272,1286,16,41,,3,6,2
73273,34723,66,6,,,6,2
73274,558,225,6,,,16,2
73275,2049,9,5,,,16,2
73276,14155,44,6,,,16,2
73277,347,15,3,,,16,2
73278,23216,11,122,,,16,2
73279,28512,66,6,,,24,2
73280,510,30,34,,,16,2
73281,8270,491,6,,,18,2
73282,39117,128,5,,,16,2
73283,2588,206,6,,,16,2
73284,39118,128,5,,,16,2
73285,1231,5,6,,,6,2
73286,6721,59,2,,,24,2
73287,1349,30,34,,,16,2
73288,8666,195,6,,,16,1
73289,328,5,6,,,6,2
73290,1475,66,6,,,16,1
73291,379,11,122,,,16,2
73292,1475,66,6,,,16,2
73293,14898,9,5,,,16,2
73294,3601,13,38,,1,2,2
73295,1349,30,34,,,16,2
73296,28400,2,4,,,6,2
73297,1006,24,2,,4,24,2
