fahrzeug_anzahlTypId,leer
43,1
92,1
106,1
115,1
127,1
141,1
180,1
190,1
259,1
307,1
368,1
369,1
374,1
402,1
419,1
431,1
443,1
557,1
562,1
599,1
605,1
619,1
640,1
667,1
725,1
748,1
773,1
782,1
793,1
795,1
817,1
1038,1
1046,1
1074,1
1076,1
1101,1
1113,1
1149,1
1160,1
1172,1
1228,1
1280,1
1281,1
1282,1
1314,1
1325,1
1357,1
1360,1
1367,1
1395,1
1465,1
1514,1
1536,1
1571,1
1598,1
1623,1
1625,1
1699,1
1705,1
1744,1
1745,1
1836,1
1848,1
1871,1
1873,1
1891,1
1897,1
1898,1
1968,1
1973,1
1978,1
1980,1
2004,1
2019,1
2044,1
2045,1
2046,1
2056,1
2121,1
2128,1
2129,1
2134,1
2138,1
2158,1
2179,1
2235,1
2242,1
2255,1
2262,1
2264,1
2299,1
2349,1
2378,1
2387,1
2442,1
2463,1
2485,1
2513,1
2525,1
2546,1
2578,1
2581,1
2591,1
2594,1
2595,1
2608,1
2612,1
2614,1
2616,1
2622,1
2640,1
2711,1
2789,1
2823,1
2830,1
2836,1
2840,1
2872,1
2874,1
2888,1
2951,1
2972,1
2990,1
2992,1
2996,1
3022,1
3050,1
3057,1
3058,1
3071,1
3080,1
3112,1
3117,1
3123,1
3183,1
3184,1
3191,1
3252,1
3281,1
3282,1
3330,1
3348,1
3381,1
3464,1
3479,1
3501,1
3507,1
3515,1
3519,1
3530,1
3540,1
3566,1
3574,1
3577,1
3588,1
3614,1
3636,1
3637,1
3652,1
3675,1
3765,1
3775,1
3796,1
3798,1
3828,1
3834,1
3847,1
3872,1
3888,1
3893,1
3922,1
3944,1
3954,1
3966,1
4046,1
4059,1
4082,1
4111,1
4120,1
4207,1
4216,1
4289,1
4316,1
4317,1
4323,1
4370,1
4379,1
4400,1
4439,1
4459,1
4469,1
4508,1
4522,1
4579,1
4602,1
4613,1
4624,1
4660,1
4664,1
4683,1
4685,1
4717,1
4730,1
4732,1
4747,1
4801,1
4847,1
4852,1
4872,1
4882,1
4886,1
4888,1
4912,1
4926,1
4937,1
4968,1
5061,1
5071,1
5075,1
5076,1
5108,1
5122,1
5126,1
5135,1
5150,1
5167,1
5174,1
5211,1
5243,1
5254,1
5268,1
5333,1
5354,1
5361,1
5403,1
5404,1
5454,1
5534,1
5540,1
5545,1
5573,1
5592,1
5641,1
5682,1
5683,1
5701,1
5710,1
5736,1
5737,1
5738,1
5742,1
5743,1
5771,1
5775,1
5782,1
5791,1
5803,1
5806,1
5837,1
5876,1
5878,1
5881,1
5903,1
5916,1
5940,1
5952,1
5955,1
5956,1
5980,1
5983,1
5985,1
5989,1
5992,1
5997,1
6001,1
6016,1
6070,1
6178,1
6215,1
6219,1
6296,1
6319,1
6330,1
6373,1
6374,1
6379,1
6380,1
6389,1
6454,1
6467,1
6470,1
6511,1
6530,1
6537,1
6562,1
6582,1
6596,1
6623,1
6642,1
6658,1
6659,1
6668,1
6686,1
6691,1
6693,1
6696,1
6742,1
6744,1
6842,1
6871,1
6883,1
6901,1
6912,1
6949,1
6951,1
6957,1
6960,1
6961,1
6992,1
7010,1
7016,1
7021,1
7153,1
7171,1
7174,1
7207,1
7231,1
7252,1
7254,1
7272,1
7277,1
7305,1
7356,1
7361,1
7366,1
7419,1
7420,1
7421,1
7437,1
7443,1
7486,1
7545,1
7593,1
7618,1
7649,1
7678,1
7684,1
7710,1
7726,1
7733,1
7737,1
7751,1
7765,1
7809,1
7810,1
7811,1
7823,1
7924,1
7963,1
8021,1
8055,1
8085,1
8090,1
8112,1
8149,1
8168,1
8207,1
8271,1
8272,1
8274,1
8308,1
8321,1
8322,1
8335,1
8351,1
8383,1
8389,1
8393,1
8400,1
8462,1
8474,1
8480,1
8481,1
8497,1
8524,1
8570,1
8584,1
8607,1
8657,1
8664,1
8669,1
8697,1
8715,1
8730,1
8735,1
8778,1
8790,1
8803,1
8852,1
8948,1
8953,1
8954,1
8958,1
8976,1
9006,1
9035,1
9036,1
9067,1
9120,1
9129,1
9145,1
9146,1
9215,1
9220,1
9222,1
9230,1
9231,1
9232,1
9257,1
9262,1
9357,1
9375,1
9393,1
9404,1
9419,1
9423,1
9438,1
9486,1
9487,1
9491,1
9492,1
9536,1
9538,1
9539,1
9550,1
9566,1
9569,1
9577,1
9579,1
9580,1
9607,1
9687,1
9704,1
9765,1
9801,1
9828,1
9836,1
9863,1
9923,1
9944,1
9952,1
9953,1
9974,1
9979,1
9985,1
9987,1
9995,1
10006,1
10014,1
10024,1
10033,1
10051,1
10078,1
10159,1
10161,1
10162,1
10204,1
10217,1
10221,1
10231,1
10351,1
10365,1
10370,1
10371,1
10426,1
10450,1
10469,1
10573,1
10574,1
10677,1
10681,1
10734,1
10780,1
10782,1
10808,1
10812,1
10822,1
10861,1
10880,1
10885,1
10905,1
10906,1
10933,1
10940,1
10991,1
11091,1
11106,1
11143,1
11144,1
11145,1
11146,1
11151,1
11168,1
11169,1
11174,1
11181,1
11248,1
11254,1
11328,1
11451,1
11470,1
11500,1
11516,1
11519,1
11521,1
11525,1
11549,1
11550,1
11721,1
11755,1
11777,1
11789,1
11820,1
11821,1
11890,1
11948,1
11966,1
11967,1
12019,1
12031,1
12100,1
12142,1
12205,1
12239,1
12264,1
12265,1
12325,1
12387,1
12388,1
12456,1
12478,1
12479,1
12544,1
12545,1
12555,1
12602,1
12604,1
12608,1
12642,1
12682,1
12754,1
12797,1
12819,1
12823,1
12836,1
12885,1
12895,1
12955,1
12978,1
13035,1
13085,1
13095,1
13106,1
13120,1
13186,1
13200,1
13204,1
13209,1
13265,1
13266,1
13274,1
13346,1
13379,1
13398,1
13399,1
13411,1
13422,1
13423,1
13427,1
13517,1
13520,1
13521,1
13555,1
13586,1
13603,1
13624,1
13636,1
13637,1
13652,1
13669,1
13690,1
13707,1
13808,1
13869,1
13903,1
13933,1
13979,1
14009,1
14046,1
14070,1
14087,1
14088,1
14134,1
14141,1
14144,1
14153,1
14182,1
14190,1
14193,1
14247,1
14253,1
14288,1
14417,1
14440,1
14463,1
14480,1
14483,1
14496,1
14499,1
14534,1
14547,1
14575,1
14584,1
14597,1
14601,1
14605,1
14629,1
14679,1
14688,1
14708,1
35977,1
14802,1
14811,1
14886,1
14889,1
14898,1
14910,1
14981,1
14994,1
14995,1
15007,1
15031,1
15041,1
15052,1
15128,1
15202,1
15205,1
15224,1
15410,1
15447,1
15513,1
15562,1
15563,1
15630,1
15672,1
15716,1
15906,1
15944,1
15971,1
16015,1
16113,1
16181,1
16199,1
16327,1
16393,1
16448,1
16482,1
16483,1
16506,1
16516,1
16520,1
16521,1
16548,1
16628,1
16630,1
16643,1
16665,1
16669,1
16719,1
16771,1
16803,1
16840,1
16872,1
16893,1
16938,1
17017,1
17070,1
17190,1
17206,1
17208,1
17214,1
17217,1
17218,1
17223,1
17225,1
17230,1
17234,1
17278,1
17334,1
17414,1
17456,1
17469,1
17481,1
17501,1
17549,1
17557,1
17563,1
17578,1
17605,1
17753,1
17755,1
17830,1
17869,1
17882,1
17909,1
17955,1
18011,1
18080,1
18107,1
18225,1
18279,1
18312,1
18325,1
18389,1
18414,1
18421,1
18425,1
18473,1
18495,1
18498,1
18507,1
18516,1
18544,1
18545,1
18605,1
18634,1
18721,1
18727,1
18731,1
18746,1
18747,1
18751,1
18765,1
18787,1
18829,1
18860,1
18887,1
18901,1
18910,1
18911,1
18932,1
19013,1
19032,1
19055,1
19056,1
19066,1
19085,1
19113,1
19176,1
19195,1
19203,1
19204,1
19228,1
19247,1
19254,1
19260,1
19313,1
19370,1
19380,1
19381,1
19383,1
19406,1
19408,1
19422,1
19427,1
19440,1
19451,1
19454,1
19495,1
19502,1
19505,1
19517,1
19520,1
19522,1
19542,1
19573,1
19766,1
19819,1
19828,1
19844,1
19847,1
19851,1
19865,1
19947,1
19948,1
19951,1
20010,1
20027,1
20036,1
20156,1
20181,1
20183,1
20200,1
20201,1
20214,1
20262,1
20280,1
20287,1
20291,1
20297,1
20338,1
20398,1
20412,1
20465,1
20469,1
20478,1
20479,1
20484,1
20498,1
20568,1
20714,1
20730,1
20764,1
20771,1
20780,1
20795,1
20821,1
20859,1
20902,1
20907,1
20925,1
20936,1
20937,1
20938,1
21000,1
21031,1
21111,1
21116,1
21121,1
21129,1
21156,1
21195,1
21212,1
21245,1
21256,1
21261,1
21270,1
21295,1
21296,1
21330,1
21341,1
21390,1
21408,1
21422,1
21428,1
21434,1
21435,1
21439,1
21451,1
21477,1
21495,1
21498,1
21540,1
21559,1
21624,1
21789,1
21831,1
21834,1
21930,1
22017,1
22023,1
22030,1
22039,1
22040,1
22059,1
22091,1
22113,1
22120,1
22121,1
22126,1
22170,1
22235,1
22345,1
22352,1
22381,1
22403,1
22404,1
22409,1
22430,1
22458,1
22463,1
22485,1
22487,1
22631,1
22643,1
22665,1
22693,1
22718,1
22768,1
22806,1
22810,1
22834,1
22850,1
22860,1
22930,1
22962,1
22980,1
23057,1
23071,1
23113,1
23192,1
23224,1
23233,1
23275,1
23297,1
23313,1
23332,1
23400,1
23423,1
23425,1
23487,1
23492,1
23513,1
23541,1
23550,1
23583,1
23606,1
23638,1
23660,1
23666,1
23689,1
23690,1
23695,1
23697,1
23741,1
23747,1
23753,1
23768,1
23830,1
23838,1
23841,1
23844,1
23895,1
23944,1
23960,1
23974,1
23983,1
24001,1
24041,1
24068,1
24082,1
24101,1
24115,1
24119,1
24131,1
24164,1
24201,1
24202,1
24205,1
24240,1
24245,1
24261,1
24274,1
24305,1
24314,1
24321,1
24345,1
24350,1
24353,1
24354,1
24364,1
24386,1
24401,1
24418,1
24442,1
24527,1
24532,1
24557,1
24592,1
24636,1
24651,1
24682,1
24687,1
24688,1
24706,1
24721,1
24741,1
24743,1
24757,1
24769,1
24777,1
24785,1
24803,1
24824,1
24837,1
24863,1
24887,1
24901,1
24906,1
24922,1
24923,1
24942,1
25015,1
25050,1
25075,1
25246,1
25251,1
25288,1
25341,1
25363,1
25372,1
25375,1
25384,1
25391,1
25435,1
25465,1
25514,1
25515,1
25527,1
25558,1
25608,1
35955,1
25710,1
25774,1
25795,1
25796,1
25800,1
25827,1
25830,1
25852,1
25865,1
25908,1
25917,1
25925,1
25930,1
25977,1
25998,1
26030,1
26118,1
26159,1
26187,1
26228,1
26283,1
26284,1
26288,1
26292,1
26325,1
26347,1
26362,1
26452,1
26471,1
26482,1
26495,1
26498,1
26515,1
26613,1
26617,1
26635,1
26636,1
26649,1
26694,1
26713,1
26758,1
26809,1
26816,1
26827,1
26877,1
26899,1
26922,1
26924,1
26929,1
26973,1
26974,1
26984,1
26988,1
26995,1
27009,1
27022,1
27041,1
27042,1
27066,1
27097,1
27121,1
27160,1
27161,1
27163,1
27186,1
27220,1
27223,1
27296,1
27341,1
27375,1
27384,1
27398,1
27407,1
27412,1
27453,1
27457,1
27490,1
27497,1
27506,1
27543,1
27548,1
27549,1
27565,1
27581,1
27625,1
27629,1
27642,1
27706,1
27707,1
27725,1
27780,1
27796,1
27799,1
27800,1
27807,1
27835,1
27845,1
27846,1
27851,1
27891,1
27908,1
27911,1
27923,1
35923,1
27951,1
27983,1
27998,1
28022,1
28061,1
28088,1
28124,1
28145,1
28152,1
28174,1
28175,1
28176,1
28197,1
28198,1
28207,1
28220,1
28221,1
28225,1
28233,1
28235,1
28246,1
28247,1
28276,1
28301,1
35909,1
28346,1
28363,1
28378,1
28383,1
35887,1
28412,1
28431,1
35857,1
35844,1
28483,1
28485,1
28531,1
28532,1
28599,1
28600,1
28629,1
28637,1
28640,1
28644,1
28645,1
28653,1
28655,1
28656,1
28700,1
28712,1
28727,1
28730,1
28732,1
28736,1
28755,1
28760,1
28766,1
28782,1
28792,1
28795,1
28849,1
28856,1
28860,1
28869,1
28882,1
28960,1
28983,1
28998,1
29007,1
29036,1
29041,1
29048,1
29055,1
29079,1
29095,1
29098,1
29105,1
29110,1
29117,1
29128,1
29168,1
29208,1
29230,1
29250,1
29271,1
29329,1
29332,1
29372,1
29378,1
29392,1
