angaben_passagiereId,personenId,angabenId,zielort,judenleibmaut,judenleibmaut_fl,judenleibmaut_s,judenleibmaut_d,bemerkungen,passagiereOrder
690,788,2798,,,,,,,
691,3583,2805,27,,,,,,
692,17,2806,27,,,,,,
6003,9420,2806,27,,,,,,
694,3589,2814,,,,,,,
17474,19673,21316,3,1,15,,,Fahrt von Passau nach Linz.,
696,16,2820,,,,,,,
698,284,2827,,,,,,,
699,2211,2837,27,,,,,,
700,3630,2841,,,,,,,
701,3631,2842,,,,,,,
702,16,2853,,,,,,,
703,412,2854,10,,,,,,
704,3673,2863,3,1,4,4,,,
705,17,2866,,,,,,,
707,15,2883,4,,,,,,
708,3712,2888,27,,,,,,
709,17,2893,,,,,,,
710,16,2899,,,,,,,
711,16,2904,,,,,,,
712,16,2906,,,,,,,
713,3726,2908,112,,,,,,
714,16,2915,,,,,,,
715,16,2917,,,,,,,
716,3756,2960,112,,,,,,
717,16,2972,,,,,,,
718,16,2974,,,,,,,
719,16,2976,,,,,,,
720,788,2996,,,,,,,
721,3785,3009,112,,,,,,
722,16,3014,,,,,,,
725,554,3021,,,,,,,
726,3417,3024,,,,,,,
727,3810,3025,,,,,,,
728,113,3035,,,,,,,
729,16,3036,,,,,,,
730,3835,3037,,,,,,,
731,604,3041,,,,,,,
732,113,3043,,,,,,,
733,3841,3045,,,,,,,
734,1874,3059,,,,,,,
735,16,3060,,,,,,,
736,16,3085,3,,,,,,
737,16,3088,3,,,,,,
738,3925,3089,,,,,,,
739,3928,3092,,,,,,,
740,113,3093,,,,,,,
741,3933,3101,,,,,,,
742,3939,3107,,,,,,,
743,16,3108,,,,,,,
744,16,3109,,,,,,,
745,414,3112,,,,,,,
746,3944,3113,,,,,,,
747,414,3129,,,,,,,
748,16,3130,,,,,,,
749,1372,3138,,,,,,,
750,16,3145,,,,,,,
751,3975,3147,,,,,,,
752,30,3151,,,,,,,
753,3978,3152,,,,,,,
13672,12122,3158,27,,,,,,
755,2333,3159,,,,,,,
756,3990,3160,,,,,,,
757,113,3161,,,,,,,
758,3993,3164,,,,,,,
759,16,3173,,,,,,,
760,4006,3174,,,,,,,
761,3482,3178,,,,,,,
762,16,3180,,,,,,,
763,4007,3180,,,,,,,
764,4008,3181,,,,,,,
765,1354,3183,,,,,,,
766,102,3184,,,,,,,
767,16,3185,3,,,,,,
768,4012,3187,,,,,,,
769,16,3191,,,,,,,
770,16,3193,,,,,,,
771,16,3195,,,,,,,
772,17,3198,,,,,,,
773,16,3204,3,,,,,,
774,16,3210,,,,,,,
775,17,3231,,,,,,,
776,4051,3235,27,,,,,,
777,16,3236,3,,,,,,
778,4081,3261,18,,,,,,
779,16,3266,,,,,,,
780,3835,3267,,,,,,,
781,414,3283,,,,,,,
782,16,3286,,,,,,,
783,16,3317,,,,,,,
784,4118,3320,,,,,,,
13689,32873,3327,10,,,,,,
787,4134,3338,,,,,,,
788,4137,3342,3,,,,,,
789,4147,3352,27,,,,,,
791,16,3363,,,,,,,
792,2110,3368,,,,,,,
793,1354,3383,,,,,,,
794,17,3384,,,,,,,
795,16,3389,3,,,,,,
796,16,3396,,,,,,,
797,16,3397,148,,,,,,
798,17,3410,,,,,,,
1320,554,4405,3,,,,,,
801,16,3412,148,,,,,,
803,4188,3437,27,,,,,,
804,16,3439,,,,,,,
805,16,3440,10,,,,,,
806,16,3471,,,,,,,
807,17,3481,,,,,,,
1287,1587,5144,,,,,,,
809,1587,3501,160,,,,,,
810,121,3506,,,,,,,
811,4134,3510,,,,,,,
813,4245,3517,,,,,,,
814,4246,3515,,,,,,,
815,113,3529,,,,,,,
816,17,3530,,,,,,,
13248,414,28899,3,,,,,,
818,16,3537,,,,,,,
819,16,3568,,,,,,,
820,16,3578,,,,,,,
821,16,3580,,,,,,,
822,15,3588,,,,,,,
823,4279,3602,4,,,,,,
824,16,3635,,,,,,,
825,4320,3655,,,,,,,
826,4326,3661,,,,,,,
827,4334,3668,,,,,,,
828,17,3670,,,,,,,
829,113,3671,,,,,,,
830,2877,3675,,,,,,,
831,2877,3682,,,,,,,
832,16,3700,,,,,,,
833,15,3702,3,,,,,,
834,16,3713,,,,,,,
835,17,3718,,,,,,,
836,4007,3719,,,,,,,
837,16,3739,,,,,,,
838,672,3745,,,,,,,
839,414,3746,,,,,,,
840,3835,3750,,,,,,,
841,16,3752,,,,,,,
842,16,3757,,,,,,,
843,17,3765,,,,,,,
6030,16972,3773,11,,,,,,
845,16,3775,,,,,,,
846,788,3783,,,,,,,
847,1874,3786,3,,,,,,
848,4334,3794,3,,,,,,
849,113,3808,89,,,,,,
850,113,3820,89,,,,,,
851,16,3824,,,,,,,
6052,6550,3855,27,,,,,,
854,16,3860,,,,,,,
855,788,3863,,,,,,,
856,4498,3865,,,,,,,
857,4499,3867,89,,,,,,
858,16,3878,,,,,,,
859,16,3897,27,,,,,,
860,16,3900,,,,,,,
861,16,3904,,,,,,,
862,17,3913,27,,,,,,
863,4529,3918,3,,,,,,
865,1874,3929,10,,,,,,
866,16,3932,,,,,,,
867,16,3934,,,,,,,
868,4562,3955,27,,,,,,
869,16,3958,,,,,,,
870,16,3976,3,,,,,,
6059,17044,3994,,,,,,,
872,113,4022,,,,,,,
873,16,4028,,,,,,,
874,16,4045,,,,,,,
875,4623,4063,27,,,,,,
6060,17045,4063,27,,,,,,
877,102,4068,,,,,,,
878,17,4080,,,,,,,
879,3631,4081,,,,,,,
880,16,4089,,,,,,,
881,16,4090,,,,,,,
882,16,4094,,,,,,,
883,17,4116,,,,,,,
884,3631,4139,27,,,,,,
885,4704,4158,27,,,,,,
886,16,4165,,,,,,,
887,16,4172,,,,,,,
888,4738,4201,79,,,,,,
890,3417,4225,27,,,,,,
891,30,4227,,,,,,,
6065,17060,4233,,,,,,,
893,16,4237,,,,,,,
894,17,4241,,,,,,,
895,16,4242,,,,,,,
896,2329,4247,27,,,,,,
897,16,4265,79,,,,,,
898,16,4277,,,,,,,
899,16,4333,,,,,,,
900,16,4334,,,,,,,
901,1906,4348,27,,,,,,
6074,5714,4366,,,,,,,
9698,5008,4368,27,,,,,,
904,4935,4392,3,,,,,,
905,412,4394,,,,,,,
906,4936,4397,27,,,,,,
907,617,4401,349,,,,,,
1321,554,4599,,,,,,,
6079,113,29054,,,,,,,
6082,1906,29067,,,,,,,
911,4326,4436,,,,,,,
912,16,4437,3,,,,,,
913,1906,4439,,,,,,,
914,1651,4443,79,,,,,,
915,16,4448,,,,,,,
916,16,4465,,,,,,,
918,16,4508,,,,,,,
919,2333,4531,27,,,,,,
6119,17161,4546,27,,,,,,
921,16,4548,,,,,,,
922,16,4560,,,,,,,
923,909,4568,,,,,,,
924,2329,4591,,,,,,,
1322,554,4633,3,,,,,,
926,5072,4610,3,,,,,,
927,16,4632,148,,,,,,
1323,788,6611,3,,,,,,
929,16,4636,148,,,,,,
930,5090,4638,18,,,,,,
6128,554,29275,,,,,,,
932,16,4655,,,,,,,
933,16,4658,,,,,,,
934,16,4663,,,,,,,
935,16,4669,,,,,,,
936,5118,4676,27,,,,,,
937,5120,4685,,,,,,,
938,5121,4685,,,,,,,
939,16,4688,,,,,,,
940,1681,4689,,,,,,,
941,2701,4702,27,,,,,,
942,5117,4703,3,,,,,,
943,16,4709,,,,,,,
944,16,4724,,,,,,,
945,16,4726,44,,,,,,
946,5146,4728,3,,,,,,
947,16,4738,,,,,,,
948,2877,4740,148,,,,,,
6140,3631,4762,,,,,,,
9696,16,45763,3,,,,,,
951,284,4776,,,,,,,
952,16,4789,27,,,,,,
953,284,4807,,,,,,,
954,17,4810,,,,,,,
955,5203,4815,148,,,,,,
956,16,4821,,,,,,,
957,5206,4822,,,,,,,
958,113,4823,,,,,,,
9714,554,45833,27,,,,,,
960,5220,4833,,,,,,,
961,17,4835,,,,,,,
962,16,4837,,,,,,,
963,16,4844,,,,,,,
964,17,4849,,,,,,,
965,5301,4882,27,,,,,,
966,16,4884,,,,,,,
967,100,4889,4,,,,,,
6017,525,4892,1,,,,,,
969,16,4896,,,,,,,
970,284,4898,,,,,,,
971,16,4899,,,,,,,
972,5317,4904,,,,,,,
973,5319,4907,27,,,,,,
974,16,4910,,,,,,,
975,554,4929,27,,,,,,
976,5220,4931,,,,,,,
977,2877,4938,148,,,,,,
978,17,4948,3,,,,,,
979,2478,4949,,,,,,,
980,3925,4953,,,,,,,
982,2877,4970,,,,,,,
5069,15326,7119,,1,30,,,,
984,5389,4985,,,,,,,
985,5390,4985,,,,,,,
986,909,4992,,,,,,,
987,5394,4998,,,,,,,
988,16,5006,,,,,,,
989,16,5007,,,,,,,
990,5400,5012,,,,,,,
991,5401,5013,,,,,,,
992,16,5017,,,,,,,
994,3944,5026,,,,,,,
995,16,5032,3,,,,,,
996,5418,5034,112,,,,,,
997,16,5035,,,,,,,
999,16,5042,,,,,,,
1000,5423,5045,,,,,,,
1001,788,5056,,,,,,,
9695,22947,45761,27,,,,,,
1003,16,5058,,,,,,,
1004,16,5059,148,,,,,,
1005,16,5075,148,,,,,,
1006,3372,5076,,,,,,,
1007,16,5077,,,,,,,
1008,16,5086,3,,,,,,
1009,5473,5093,,,,,,,
1010,16,5095,148,,,,,,
9675,22922,45702,27,,,,,,
1012,113,5112,3,,,,,,
1013,89,5114,374,,,,,,
1014,5498,5119,,,,,,,
1015,113,5120,3,,,,,,
1016,1874,5122,,,,,,,
1288,1587,5344,,,,,,,
1018,113,5147,3,,,,,,
1019,113,5149,,,,,,,
1020,113,5150,,,,,,,
1021,16,5151,,,,,,,
1022,16,5152,,,,,,,
1023,16,5153,,,,,,,
1024,113,5161,3,,,,,,
1025,113,5174,3,,,,,,
1026,113,5180,3,,,,,,
1027,113,5187,,,,,,,
1028,17,5190,,,,,,,
1029,16,5199,,,,,,,
1030,5543,5200,,,,,,,
1031,5552,5204,3,,,,,,
1032,16,5206,3,,,,,,
1033,1382,5207,3,,,,,,
1034,672,5216,,,,,,,
1035,5317,5222,,,,,,,
1036,672,5224,,,,,,,
1037,5581,5228,,,,,,,
1038,16,5232,,,,,,,
1039,5585,5237,27,,,,,,
1040,16,5247,,,,,,,
1041,284,5249,,,,,,,
1042,5588,5254,,,,,,,
1043,554,5257,,,,,,,
1044,5592,5258,,,,,,,
1045,5593,5265,,,,,,,
1046,16,5267,3,,,,,,
1047,5601,5280,27,,,,,,
1048,1587,5285,160,,,,,,
1049,16,5286,148,,,,,,
1050,16,5294,,,,,,,
1051,16,5298,3,,,,,,
1052,16,5308,,,,,,,
1053,16,5323,3,,,,,,
1054,284,5326,27,,,,,,
1055,15,5328,,,,,,,
1289,1587,5398,,,,,,,
1057,16,5351,,,,,,,
13711,1131,5360,,,,,,,
1059,17,5364,,,,,,,
1060,16,5367,,,,,,,
13712,10401,5370,,,,,,,
1062,16,5377,,,,,,,
1063,788,5392,,,,,,,
1064,16,5396,,,,,,,
1290,1587,5535,10,,,,,,
1066,3482,5404,,,,,,,
1067,16,5425,,,,,,,
1068,16,5430,,,,,,,
1069,5700,5432,,,,,,,
1070,5703,5436,,,,,,,
1071,5588,5441,,,,,,,
1072,5588,5442,,,,,,,
1073,5588,5445,,,,,,,
1074,5710,5446,,,,,,,
1075,5711,5446,,,,,,,
1076,284,5450,,,,,,,
1077,16,5457,,,,,,,
