person_verknuepftId,personenId1,personenId2
409,14209,11504
410,14216,13206
15212,38991,28387
412,163,5920
413,14219,5920
414,14221,13111
415,14221,12498
11955,31285,17356
417,14228,5625
418,1033,10168
419,3783,4973
420,5240,9726
421,14235,10915
422,14238,1859
423,1728,4757
424,1138,849
17170,4046,4063
17147,15125,4496
3657,20878,3784
428,5653,1060
429,11908,13888
430,14242,1633
432,11396,7953
8246,26132,20265
434,9692,4727
435,10700,4527
436,3923,3299
437,2521,10543
438,6546,10200
439,167,2514
440,167,1883
441,167,12845
442,2497,6155
443,14278,5452
444,14279,9821
445,14280,7755
16593,39655,38332
447,4914,9341
448,2980,2770
449,2980,947
450,2980,2773
451,2770,947
452,2770,2773
453,2773,947
454,6859,8976
455,14290,13062
456,3644,2671
457,375,1862
458,375,8639
459,2563,3534
1988,111,1627
461,14294,12952
462,14295,9795
463,14297,51
464,520,4755
465,339,10945
466,21,11877
467,14300,12756
468,329,9383
469,329,4292
470,4642,6565
471,4642,2538
472,4642,9838
473,2538,9838
474,2538,6565
475,6565,9838
476,14306,711
477,14309,4669
478,2957,3552
479,6077,8219
480,1805,10199
481,4631,1301
482,14340,11520
3869,2026,20487
16542,23399,18840
15038,14357,35480
486,14358,8690
487,2533,9794
4607,783,4731
4606,783,19320
4605,5561,2562
4604,5561,783
4612,22466,4020
4611,22466,17964
4610,2562,19320
495,2530,4731
496,2530,2562
497,2562,4731
498,6095,11907
499,6095,9795
500,6095,14295
501,11907,9795
502,11907,14295
503,1838,14295
504,2514,1883
505,2514,12845
506,2513,10948
507,2513,10198
509,10948,10198
510,11383,14266
511,11383,759
512,11383,2539
513,11383,9796
514,14266,759
515,14266,2539
516,14266,9796
517,759,2539
518,759,9796
519,2539,9796
520,14360,7686
521,14360,9458
522,330,2406
523,330,10189
524,2406,10189
525,14361,1876
526,14361,5437
527,14361,7680
528,5437,1876
529,5437,7680
530,7680,1876
531,757,2283
532,641,2519
533,641,10519
534,641,13712
535,2519,10519
536,2519,13712
537,10519,13712
538,4027,5455
539,4027,10947
540,5455,10947
541,14363,9162
542,4640,6660
543,1806,12760
544,1880,4638
545,332,2520
546,1807,6075
547,353,8788
548,3845,13840
549,5517,10377
550,728,7573
551,728,9734
552,7573,9734
553,492,4455
554,354,7474
555,1870,6090
1117,15909,11138
17112,28521,29218
558,1934,4643
559,1934,10208
560,10208,4643
561,14377,1961
562,14377,2010
563,14377,3547
564,1950,8762
565,1612,3757
566,12675,12936
567,2345,7110
568,246,2859
569,246,7764
570,2859,7764
6466,22999,13865
572,14387,13247
573,14389,1502
574,14391,3460
575,14391,11315
576,14391,8956
11932,1009,303
578,14394,11227
579,14394,11590
580,14402,11933
581,1257,7643
582,9853,7010
583,14351,10220
584,14429,7355
585,1435,7537
586,473,1893
17033,1849,20670
17034,1849,19574
589,14457,391
590,14464,3534
591,14464,10033
592,14464,820
593,14464,2563
13219,35906,28960
595,14466,2161
596,14466,4311
597,940,7634
598,4661,4198
15281,39041,18722
603,474,11165
605,1658,8186
11452,31358,8186
607,1658,10357
11451,31358,1658
609,8186,10357
11453,31358,10357
611,8487,54
612,4991,1140
613,4991,7501
614,1140,7501
615,450,2151
