fahrzeugId,hohenau
77051,1
26530,1
684,1
741,1
3889,1
4126,1
4274,1
5197,1
31250,1
31344,1
31772,1
8773,1
50069,1
18045,1
18100,1
18112,1
18410,1
18454,1
